subnum,block,trial,dim1,dim2,nDim,n,isi,d1,d2,d3,d4,dotext,doaudio,dospatial,timestart,resp1,corr1,time2,rta,resp2,corr2,time3,rtb
1AHT3,p1,1,consonants-av,none,1,1,3000,0,0,2,2,1,1,0,8936,<timeout>,1,11689,2746,<timeout>,1,11696,2753
1AHT3,p1,2,consonants-av,none,1,1,3000,0,1,3,2,1,1,0,11969,<timeout>,1,14722,2745,<timeout>,0,14729,2752
1AHT3,p1,3,consonants-av,none,1,1,3000,1,1,3,2,1,1,0,15006,<lshift>,1,15979,965,<timeout>,0,17758,2744
1AHT3,p1,4,consonants-av,none,1,1,3000,1,0,3,8,1,1,0,18031,<lshift>,1,19381,1343,<timeout>,1,20784,2746
1AHT3,p1,5,consonants-av,none,1,1,3000,0,0,2,3,1,1,0,21057,<timeout>,1,23810,2746,<timeout>,1,23817,2753
1AHT3,p1,6,consonants-av,none,1,1,3000,0,1,8,3,1,1,0,24093,<timeout>,1,26845,2744,<timeout>,0,26852,2751
1AHT3,p1,7,consonants-av,none,1,1,3000,0,0,2,8,1,1,0,27127,<timeout>,1,29879,2744,<timeout>,1,29886,2751
1AHT3,p1,8,consonants-av,none,1,1,3000,0,0,5,2,1,1,0,30160,<timeout>,1,32912,2744,<timeout>,1,32917,2749
1AHT3,p1,9,consonants-av,none,1,1,3000,1,0,5,8,1,1,0,33188,<lshift>,1,33980,785,<timeout>,1,35941,2746
1AHT3,p1,10,consonants-av,none,1,1,3000,0,0,7,3,1,1,0,36218,<timeout>,1,38971,2745,<timeout>,1,38978,2752
1AHT3,p1,11,consonants-av,none,1,1,3000,1,1,7,3,1,1,0,39253,<lshift>,1,39915,655,<timeout>,0,42005,2745
1AHT3,p2,1,consonants-av,none,1,2,3000,0,0,6,5,1,1,0,50368,<timeout>,1,53120,2743,<timeout>,1,53127,2750
1AHT3,p2,2,consonants-av,none,1,2,3000,0,0,1,8,1,1,0,53400,<timeout>,1,56153,2745,<timeout>,1,56160,2752
1AHT3,p2,3,consonants-av,none,1,2,3000,0,1,7,5,1,1,0,56434,<timeout>,1,59187,2745,<timeout>,0,59194,2752
1AHT3,p2,4,consonants-av,none,1,2,3000,1,0,1,4,1,1,0,59470,<lshift>,1,60603,1126,<timeout>,1,62223,2746
1AHT3,p2,5,consonants-av,none,1,2,3000,0,0,1,3,1,1,0,62497,<timeout>,1,65249,2743,<timeout>,1,65256,2750
1AHT3,p2,6,consonants-av,none,1,2,3000,0,0,3,6,1,1,0,65536,<timeout>,1,68288,2745,<timeout>,1,68295,2752
1AHT3,p2,7,consonants-av,none,1,2,3000,0,1,8,3,1,1,0,68568,<timeout>,1,71319,2747,<timeout>,0,71326,2754
1AHT3,p2,8,consonants-av,none,1,2,3000,1,0,3,3,1,1,0,71601,<lshift>,1,72523,915,<timeout>,1,74354,2746
1AHT3,p2,9,consonants-av,none,1,2,3000,1,1,8,3,1,1,0,74630,<lshift>,1,76161,1524,<timeout>,0,77383,2746
1AHT3,p2,10,consonants-av,none,1,2,3000,0,0,1,6,1,1,0,77664,<timeout>,1,80416,2743,<timeout>,1,80423,2750
1AHT3,p2,11,consonants-av,none,1,2,3000,0,0,4,4,1,1,0,80699,<timeout>,1,83452,2746,<timeout>,1,83464,2758
1AHT3,p2,12,consonants-av,none,1,2,3000,1,1,1,6,1,1,0,83739,<lshift>,1,84543,796,<timeout>,0,86492,2745
1AHT3,p3,1,none,squares,1,1,3000,0,0,2,2,0,0,1,93274,<timeout>,1,96026,2745,<timeout>,1,96033,2752
1AHT3,p3,2,none,squares,1,1,3000,1,1,2,2,0,0,1,96308,<rshift>,0,97077,762,<timeout>,1,99062,2747
1AHT3,p3,3,none,squares,1,1,3000,0,1,1,2,0,0,1,99338,<rshift>,1,100344,998,<timeout>,1,102090,2744
1AHT3,p3,4,none,squares,1,1,3000,1,1,1,2,0,0,1,102366,<rshift>,0,103044,671,<timeout>,1,105118,2745
1AHT3,p3,5,none,squares,1,1,3000,0,0,3,8,0,0,1,105395,<timeout>,1,108147,2743,<timeout>,1,108155,2751
1AHT3,p3,6,none,squares,1,1,3000,1,0,3,5,0,0,1,108427,<timeout>,0,111180,2745,<timeout>,1,111187,2752
1AHT3,p3,7,none,squares,1,1,3000,1,0,3,1,0,0,1,111464,<timeout>,0,114216,2745,<timeout>,1,114224,2753
1AHT3,p3,8,none,squares,1,1,3000,0,0,4,6,0,0,1,114501,<timeout>,1,117253,2746,<timeout>,1,117261,2754
1AHT3,p3,9,none,squares,1,1,3000,0,0,1,4,0,0,1,117537,<timeout>,1,120289,2743,<timeout>,1,120296,2750
