subnum,block,trial,dim1,dim2,nDim,n,isi,d1,d2,d3,d4,dotext,doaudio,dospatial,timestart,resp1,corr1,time2,rta,resp2,corr2,time3,rtb
1ULT1,p1,1,consonants-av,none,1,1,3000,0,0,8,4,1,1,0,116396,<timeout>,1,119148,2750,<timeout>,1,119151,2753
1ULT1,p1,2,consonants-av,none,1,1,3000,0,1,4,4,1,1,0,119412,<timeout>,1,122164,2750,<timeout>,0,122167,2753
1ULT1,p1,3,consonants-av,none,1,1,3000,1,1,4,4,1,1,0,122429,<lshift>,1,123396,965,<timeout>,0,125181,2750
1ULT1,p1,4,consonants-av,none,1,1,3000,0,0,1,8,1,1,0,125441,<timeout>,1,128193,2750,<timeout>,1,128197,2754
1ULT1,p1,5,consonants-av,none,1,1,3000,0,1,7,8,1,1,0,128457,<timeout>,1,131209,2750,<timeout>,0,131212,2753
1ULT1,p1,6,consonants-av,none,1,1,3000,1,0,7,4,1,1,0,131476,<lshift>,1,131898,420,<timeout>,1,134228,2750
1ULT1,p1,7,consonants-av,none,1,1,3000,0,0,1,2,1,1,0,134486,<timeout>,1,137239,2751,<timeout>,1,137242,2754
1ULT1,p1,8,consonants-av,none,1,1,3000,0,0,2,5,1,1,0,137503,<timeout>,1,140254,2748,<timeout>,1,140257,2751
1ULT1,p1,9,consonants-av,none,1,1,3000,1,0,2,7,1,1,0,140517,<lshift>,1,141179,660,<timeout>,1,143269,2750
1ULT1,p1,10,consonants-av,none,1,1,3000,0,0,7,1,1,1,0,143529,<timeout>,1,146281,2750,<timeout>,1,146284,2753
1ULT1,p1,11,consonants-av,none,1,1,3000,1,1,7,1,1,1,0,146545,<lshift>,1,147164,617,<timeout>,0,149297,2750
1ULT1,p2,1,consonants-av,none,1,2,3000,0,0,3,4,1,1,0,190567,<timeout>,1,193319,2750,<timeout>,1,193322,2753
1ULT1,p2,2,consonants-av,none,1,2,3000,0,0,6,2,1,1,0,193583,<timeout>,1,196336,2751,<timeout>,1,196339,2754
1ULT1,p2,3,consonants-av,none,1,2,3000,1,0,3,6,1,1,0,196599,<lshift>,1,197457,856,<timeout>,1,199351,2750
1ULT1,p2,4,consonants-av,none,1,2,3000,1,1,6,2,1,1,0,199610,<lshift>,1,200555,943,<timeout>,0,202362,2750
1ULT1,p2,5,consonants-av,none,1,2,3000,1,0,3,8,1,1,0,202623,<lshift>,1,203667,1043,<timeout>,1,205376,2752
1ULT1,p2,6,consonants-av,none,1,2,3000,0,0,1,4,1,1,0,205636,<timeout>,1,208389,2751,<timeout>,1,208392,2754
1ULT1,p2,7,consonants-av,none,1,2,3000,0,0,7,7,1,1,0,208653,<timeout>,1,211404,2749,<timeout>,1,211407,2752
1ULT1,p2,8,consonants-av,none,1,2,3000,1,1,1,4,1,1,0,211666,<lshift>,1,212399,731,<timeout>,0,214419,2751
1ULT1,p2,9,consonants-av,none,1,2,3000,0,1,5,7,1,1,0,214678,<timeout>,1,217429,2749,<timeout>,0,217432,2752
1ULT1,p2,10,consonants-av,none,1,2,3000,0,1,4,4,1,1,0,217692,<timeout>,1,220445,2751,<timeout>,0,220448,2754
1ULT1,p2,11,consonants-av,none,1,2,3000,0,0,8,2,1,1,0,220708,<timeout>,1,223461,2750,<timeout>,1,223463,2752
1ULT1,p2,12,consonants-av,none,1,2,3000,0,0,2,6,1,1,0,223724,<timeout>,1,226477,2751,<timeout>,1,226480,2754
1ULT1,p3,1,none,squares,1,1,3000,0,0,3,7,0,0,1,263507,<timeout>,1,266259,2750,<timeout>,1,266262,2753
1ULT1,p3,2,none,squares,1,1,3000,0,0,6,5,0,0,1,266522,<timeout>,1,269274,2750,<timeout>,1,269277,2753
1ULT1,p3,3,none,squares,1,1,3000,0,0,2,1,0,0,1,269538,<timeout>,1,272290,2750,<timeout>,1,272294,2754
1ULT1,p3,4,none,squares,1,1,3000,1,1,2,1,0,0,1,272553,<rshift>,0,273553,999,<timeout>,1,275306,2752
1ULT1,p3,5,none,squares,1,1,3000,0,0,8,5,0,0,1,275567,<timeout>,1,278321,2753,<timeout>,1,278324,2756
1ULT1,p3,6,none,squares,1,1,3000,0,0,6,4,0,0,1,278585,<timeout>,1,281337,2751,<timeout>,1,281340,2754
1ULT1,p3,7,none,squares,1,1,3000,1,0,6,1,0,0,1,281599,<timeout>,0,284351,2750,<timeout>,1,284355,2754
