subnum,block,trial,dim1,dim2,nDim,n,isi,d1,d2,d3,d4,dotext,doaudio,dospatial,timestart,resp1,corr1,time2,rta,resp2,corr2,time3,rtb
1VAT1,p1,1,consonants-av,none,1,1,3000,0,0,1,4,1,1,0,46760,<timeout>,1,49513,2748,<timeout>,1,49519,2754
1VAT1,p1,2,consonants-av,none,1,1,3000,0,0,2,2,1,1,0,49788,<timeout>,1,52540,2747,<timeout>,1,52545,2752
1VAT1,p1,3,consonants-av,none,1,1,3000,1,0,2,8,1,1,0,52813,<lshift>,1,53721,903,<timeout>,1,55565,2747
1VAT1,p1,4,consonants-av,none,1,1,3000,0,0,4,3,1,1,0,55831,<timeout>,1,58583,2747,<timeout>,1,58587,2751
1VAT1,p1,5,consonants-av,none,1,1,3000,0,1,7,3,1,1,0,58852,<timeout>,1,61604,2746,<timeout>,0,61609,2751
1VAT1,p1,6,consonants-av,none,1,1,3000,0,0,3,2,1,1,0,61876,<timeout>,1,64630,2749,<timeout>,1,64635,2754
1VAT1,p1,7,consonants-av,none,1,1,3000,0,0,4,4,1,1,0,64903,<timeout>,1,67655,2746,<timeout>,1,67660,2751
1VAT1,p1,8,consonants-av,none,1,1,3000,1,0,4,3,1,1,0,67931,<lshift>,1,68983,1045,<timeout>,1,70682,2744
1VAT1,p1,9,consonants-av,none,1,1,3000,0,1,5,3,1,1,0,70945,<timeout>,1,73698,2751,<timeout>,0,73704,2757
1VAT1,p1,10,consonants-av,none,1,1,3000,1,1,5,3,1,1,0,73971,<lshift>,1,74845,869,<timeout>,0,76724,2748
1VAT1,p1,11,consonants-av,none,1,1,3000,1,1,5,3,1,1,0,76990,<lshift>,1,78024,1028,<timeout>,0,79742,2746
1VAT1,p2,1,consonants-av,none,1,2,3000,0,0,3,6,1,1,0,110303,<timeout>,1,113056,2748,<timeout>,1,113061,2753
1VAT1,p2,2,consonants-av,none,1,2,3000,0,0,4,2,1,1,0,113327,<timeout>,1,116080,2748,<timeout>,1,116085,2753
1VAT1,p2,3,consonants-av,none,1,2,3000,1,1,3,6,1,1,0,116352,<lshift>,1,116917,560,<timeout>,0,119105,2748
1VAT1,p2,4,consonants-av,none,1,2,3000,1,0,4,8,1,1,0,119371,<lshift>,1,120206,829,<timeout>,1,122123,2746
1VAT1,p2,5,consonants-av,none,1,2,3000,0,0,8,8,1,1,0,122391,<timeout>,1,125145,2749,<timeout>,1,125150,2754
1VAT1,p2,6,consonants-av,none,1,2,3000,0,0,1,5,1,1,0,125416,<timeout>,1,128169,2747,<timeout>,1,128175,2753
1VAT1,p2,7,consonants-av,none,1,2,3000,0,1,1,8,1,1,0,128443,<timeout>,1,131195,2747,<timeout>,0,131200,2752
1VAT1,p2,8,consonants-av,none,1,2,3000,1,0,1,2,1,1,0,131467,<lshift>,1,132252,780,<timeout>,1,134219,2747
1VAT1,p2,9,consonants-av,none,1,2,3000,0,1,7,8,1,1,0,134487,<timeout>,1,137240,2747,<timeout>,0,137244,2751
1VAT1,p2,10,consonants-av,none,1,2,3000,1,1,1,2,1,1,0,137511,<lshift>,1,138613,1097,<timeout>,0,140263,2747
1VAT1,p2,11,consonants-av,none,1,2,3000,0,0,6,4,1,1,0,140531,<timeout>,1,143284,2747,<timeout>,1,143290,2753
1VAT1,p2,12,consonants-av,none,1,2,3000,0,0,8,5,1,1,0,143556,<timeout>,1,146309,2748,<timeout>,1,146314,2753
1VAT1,p3,1,none,squares,1,1,3000,0,0,3,5,0,0,1,184404,<timeout>,1,187155,2746,<timeout>,1,187160,2751
1VAT1,p3,2,none,squares,1,1,3000,0,0,6,4,0,0,1,187426,<timeout>,1,190177,2747,<timeout>,1,190182,2752
1VAT1,p3,3,none,squares,1,1,3000,0,0,7,7,0,0,1,190449,<timeout>,1,193202,2749,<timeout>,1,193207,2754
1VAT1,p3,4,none,squares,1,1,3000,0,0,4,1,0,0,1,193474,<timeout>,1,196226,2747,<timeout>,1,196231,2752
1VAT1,p3,5,none,squares,1,1,3000,0,1,2,1,0,0,1,196510,<rshift>,1,197519,1005,<timeout>,1,199262,2748
1VAT1,p3,6,none,squares,1,1,3000,1,1,2,1,0,0,1,199529,<rshift>,0,200283,750,<timeout>,1,202282,2749
1VAT1,p3,7,none,squares,1,1,3000,1,0,2,3,0,0,1,202549,<timeout>,0,205300,2747,<timeout>,1,205305,2752
1VAT1,p3,8,none,squares,1,1,3000,1,0,2,1,0,0,1,205572,<timeout>,0,208324,2748,<timeout>,1,208329,2753
1VAT1,p3,9,none,squares,1,1,3000,0,0,6,2,0,0,1,208594,<timeout>,1,211346,2749,<timeout>,1,211349,2752
1VAT1,p3,10,none,squares,1,1,3000,1,1,6,2,0,0,1,211613,<rshift>,0,212308,694,<timeout>,1,214365,2751
1VAT1,p3,11,none,squares,1,1,3000,0,1,7,2,0,0,1,214632,<rshift>,1,215732,1096,<timeout>,1,217384,2748
1VAT1,p4,1,consonants-av,squares,2,1,3000,0,0,3,6,1,1,1,258563,<timeout>,1,261314,2745,<timeout>,1,261320,2751
1VAT1,p4,2,consonants-av,squares,2,1,3000,1,0,3,5,1,1,1,261585,<lshift>,1,262707,1118,<timeout>,1,264339,2750
1VAT1,p4,3,consonants-av,squares,2,1,3000,0,1,8,5,1,1,1,264608,<rshift>,1,265563,949,<timeout>,1,267360,2746
1VAT1,p4,4,consonants-av,squares,2,1,3000,1,0,8,4,1,1,1,267626,<lshift>,1,269233,1601,<timeout>,1,270379,2747
1VAT1,p4,5,consonants-av,squares,2,1,3000,0,0,1,3,1,1,1,270642,<timeout>,1,273394,2746,<timeout>,1,273400,2752
