subnum,block,trial,dim1,dim2,nDim,n,isi,d1,d2,d3,d4,dotext,doaudio,dospatial,timestart,resp1,corr1,time2,rta,resp2,corr2,time3,rtb
1-lg-t1,p1,1,consonants-av,none,1,1,3000,0,0,2,7,1,1,0,24711,<timeout>,1,27461,2748,<timeout>,1,27463,2750
1-lg-t1,p1,2,consonants-av,none,1,1,3000,0,1,7,7,1,1,0,27723,<timeout>,1,30473,2739,<timeout>,0,30475,2741
1-lg-t1,p1,3,consonants-av,none,1,1,3000,0,0,4,1,1,1,0,30731,<timeout>,1,33481,2748,<timeout>,1,33483,2750
1-lg-t1,p1,4,consonants-av,none,1,1,3000,1,0,4,5,1,1,0,33739,<lshift>,1,34304,563,<timeout>,1,36489,2748
1-lg-t1,p1,5,consonants-av,none,1,1,3000,1,0,4,6,1,1,0,36745,<lshift>,1,37366,619,<timeout>,1,39495,2748
1-lg-t1,p1,6,consonants-av,none,1,1,3000,0,0,3,2,1,1,0,39751,<timeout>,1,42501,2748,<timeout>,1,42503,2750
1-lg-t1,p1,7,consonants-av,none,1,1,3000,1,1,3,2,1,1,0,42759,<lshift>,1,43264,503,<timeout>,0,45509,2748
1-lg-t1,p1,1,consonants-av,none,1,1,3000,0,0,5,4,1,1,0,20181,<timeout>,1,22931,2748,<timeout>,1,22933,2750
1-lg-t1,p1,2,consonants-av,none,1,1,3000,0,0,8,3,1,1,0,23189,<timeout>,1,25939,2748,<timeout>,1,25941,2750
1-lg-t1,p1,3,consonants-av,none,1,1,3000,0,0,2,6,1,1,0,26195,<timeout>,1,28945,2749,<timeout>,1,28946,2750
1-lg-t1,p1,4,consonants-av,none,1,1,3000,1,1,2,6,1,1,0,29202,<lshift>,1,29555,352,<timeout>,0,31952,2749
1-lg-t1,p1,5,consonants-av,none,1,1,3000,0,0,7,8,1,1,0,32207,<timeout>,1,34957,2748,<timeout>,1,34959,2750
1-lg-t1,p1,6,consonants-av,none,1,1,3000,1,1,7,8,1,1,0,35214,<lshift>,1,35574,358,<timeout>,0,37964,2748
1-lg-t1,p1,7,consonants-av,none,1,1,3000,0,1,2,8,1,1,0,38219,<timeout>,1,40969,2749,<timeout>,0,40971,2751
1-lg-t1,p1,8,consonants-av,none,1,1,3000,0,0,3,1,1,1,0,41226,<timeout>,1,43976,2748,<timeout>,1,43978,2750
1-lg-t1,p1,9,consonants-av,none,1,1,3000,0,1,1,1,1,1,0,44233,<timeout>,1,46983,2749,<timeout>,0,46985,2751
1-lg-t1,p1,10,consonants-av,none,1,1,3000,1,0,1,4,1,1,0,47239,<lshift>,1,47573,332,<timeout>,1,49989,2748
1-lg-t1,p1,11,consonants-av,none,1,1,3000,1,0,1,7,1,1,0,50244,<lshift>,1,50782,537,<timeout>,1,52994,2749
1-lg-t1,p2,1,consonants-av,none,1,2,3000,0,0,4,7,1,1,0,64976,<timeout>,1,67726,2748,<timeout>,1,67728,2750
1-lg-t1,p2,2,consonants-av,none,1,2,3000,0,0,6,6,1,1,0,67983,<timeout>,1,70733,2748,<timeout>,1,70735,2750
1-lg-t1,p2,3,consonants-av,none,1,2,3000,0,0,5,1,1,1,0,70990,<timeout>,1,73740,2748,<timeout>,1,73741,2749
1-lg-t1,p2,4,consonants-av,none,1,2,3000,1,1,6,6,1,1,0,73995,<lshift>,1,74438,442,<timeout>,0,76745,2749
1-lg-t1,p2,5,consonants-av,none,1,2,3000,0,0,1,2,1,1,0,76998,<timeout>,1,79748,2749,<timeout>,1,79749,2750
1-lg-t1,p2,6,consonants-av,none,1,2,3000,0,0,2,8,1,1,0,80004,<timeout>,1,82754,2748,<timeout>,1,82756,2750
1-lg-t1,p2,7,consonants-av,none,1,2,3000,0,1,8,2,1,1,0,83012,<timeout>,1,85762,2748,<timeout>,0,85764,2750
1-lg-t1,p2,8,consonants-av,none,1,2,3000,0,1,8,8,1,1,0,86020,<timeout>,1,88770,2748,<timeout>,0,88772,2750
1-lg-t1,p2,9,consonants-av,none,1,2,3000,0,0,1,5,1,1,0,89026,<timeout>,1,91776,2749,<timeout>,1,91778,2751
1-lg-t1,p2,10,consonants-av,none,1,2,3000,1,1,8,8,1,1,0,92033,<lshift>,1,92379,344,<timeout>,0,94783,2748
1-lg-t1,p2,11,consonants-av,none,1,2,3000,1,0,1,3,1,1,0,95039,<lshift>,1,95402,361,<timeout>,1,97789,2748
1-lg-t1,p2,12,consonants-av,none,1,2,3000,1,0,8,6,1,1,0,98045,<lshift>,1,98418,371,<timeout>,1,100795,2748
1-lg-t1,p3,1,none,squares,1,1,3000,0,0,6,8,0,0,1,111552,<timeout>,1,114302,2748,<timeout>,1,114304,2750
1-lg-t1,p3,2,none,squares,1,1,3000,0,0,2,7,0,0,1,114566,<timeout>,1,117316,2748,<timeout>,1,117318,2750
1-lg-t1,p3,3,none,squares,1,1,3000,1,1,2,7,0,0,1,117574,<rshift>,0,117846,270,<timeout>,1,120324,2748
1-lg-t1,p3,4,none,squares,1,1,3000,0,0,3,1,0,0,1,120577,<timeout>,1,123327,2748,<timeout>,1,123329,2750
1-lg-t1,p3,5,none,squares,1,1,3000,0,0,2,6,0,0,1,123585,<timeout>,1,126335,2748,<timeout>,1,126337,2750
1-lg-t1,p3,6,none,squares,1,1,3000,0,1,7,6,0,0,1,126593,<rshift>,1,126922,327,<timeout>,1,129343,2748
1-lg-t1,p3,7,none,squares,1,1,3000,0,0,6,3,0,0,1,129602,<timeout>,1,132352,2749,<timeout>,1,132354,2751
1-lg-t1,p3,8,none,squares,1,1,3000,0,1,3,3,0,0,1,132611,<rshift>,1,132918,305,<timeout>,1,135361,2748
1-lg-t1,p3,9,none,squares,1,1,3000,1,1,3,3,0,0,1,135617,<rshift>,0,136057,438,<timeout>,1,138367,2748
1-lg-t1,p3,10,none,squares,1,1,3000,1,0,3,2,0,0,1,138623,<timeout>,0,141373,2748,<timeout>,1,141375,2750
1-lg-t1,p3,11,none,squares,1,1,3000,1,0,3,7,0,0,1,141631,<timeout>,0,144381,2748,<timeout>,1,144383,2750
1-lg-t1,p4,1,consonants-av,squares,2,1,3000,0,0,7,8,1,1,1,157224,<timeout>,1,159974,2749,<timeout>,1,159976,2751
1-lg-t1,p4,2,consonants-av,squares,2,1,3000,1,0,7,6,1,1,1,160232,<lshift>,1,160851,617,<timeout>,1,162982,2748
1-lg-t1,p4,3,consonants-av,squares,2,1,3000,1,1,7,6,1,1,1,163237,<rshift>,1,163863,625,<lshift>,1,163866,628
1-lg-t1,p4,4,consonants-av,squares,2,1,3000,0,0,6,5,1,1,1,166240,<timeout>,1,168990,2749,<timeout>,1,168992,2751
1-lg-t1,p4,5,consonants-av,squares,2,1,3000,0,0,8,7,1,1,1,169248,<timeout>,1,171998,2748,<timeout>,1,172000,2750
1-lg-t1,p4,6,consonants-av,squares,2,1,3000,0,0,6,5,1,1,1,172256,<timeout>,1,175006,2748,<timeout>,1,175008,2750
1-lg-t1,p4,7,consonants-av,squares,2,1,3000,0,1,3,5,1,1,1,175263,<rshift>,1,176000,735,<timeout>,1,178013,2748
1-lg-t1,p4,8,consonants-av,squares,2,1,3000,1,0,3,8,1,1,1,178269,<lshift>,1,178694,422,<timeout>,1,181019,2747
1-lg-t1,p4,9,consonants-av,squares,2,1,3000,0,0,4,6,1,1,1,181275,<timeout>,1,184025,2748,<timeout>,1,184027,2750
1-lg-t1,p4,10,consonants-av,squares,2,1,3000,0,1,8,6,1,1,1,184282,<rshift>,1,184884,599,<timeout>,1,187032,2747
1-lg-t1,p4,11,consonants-av,squares,2,1,3000,1,1,8,6,1,1,1,187287,<rshift>,1,187746,458,<lshift>,1,188023,735
1-lg-t1,t1,1,consonants-av,squares,2,1,3000,0,0,3,1,1,1,1,219079,<timeout>,1,221829,2748,<timeout>,1,221831,2750
1-lg-t1,t1,2,consonants-av,squares,2,1,3000,0,0,1,8,1,1,1,222090,<timeout>,1,224840,2748,<timeout>,1,224841,2749
1-lg-t1,t1,3,consonants-av,squares,2,1,3000,0,0,4,5,1,1,1,225097,<timeout>,1,227847,2748,<timeout>,1,227849,2750
1-lg-t1,t1,4,consonants-av,squares,2,1,3000,0,0,3,8,1,1,1,228105,<timeout>,1,230855,2747,<timeout>,1,230856,2748
1-lg-t1,t1,5,consonants-av,squares,2,1,3000,1,1,3,8,1,1,1,231112,<lshift>,1,231825,711,<rshift>,1,231827,713
