subnum,block,trial,dim1,dim2,nDim,n,isi,d1,d2,d3,d4,dotext,doaudio,dospatial,timestart,resp1,corr1,time2,rta,resp2,corr2,time3,rtb
1-lg-t2,p1,1,consonants-av,none,1,1,3000,0,0,6,2,1,1,0,9947,<timeout>,1,12697,2748,<timeout>,1,12699,2750
1-lg-t2,p1,2,consonants-av,none,1,1,3000,0,1,7,2,1,1,0,12954,<timeout>,1,15704,2748,<timeout>,0,15706,2750
1-lg-t2,p1,3,consonants-av,none,1,1,3000,0,0,6,5,1,1,0,15962,<timeout>,1,18712,2748,<timeout>,1,18714,2750
1-lg-t2,p1,4,consonants-av,none,1,1,3000,0,0,5,6,1,1,0,18973,<timeout>,1,21723,2748,<timeout>,1,21725,2750
1-lg-t2,p1,5,consonants-av,none,1,1,3000,1,1,5,6,1,1,0,21980,<lshift>,1,22308,326,<timeout>,0,24730,2748
1-lg-t2,p1,6,consonants-av,none,1,1,3000,0,0,3,5,1,1,0,24986,<timeout>,1,27736,2748,<timeout>,1,27738,2750
1-lg-t2,p1,7,consonants-av,none,1,1,3000,0,0,7,6,1,1,0,27993,<timeout>,1,30743,2748,<timeout>,1,30745,2750
1-lg-t2,p1,8,consonants-av,none,1,1,3000,1,1,7,6,1,1,0,31000,<lshift>,1,31451,449,<timeout>,0,33750,2748
1-lg-t2,p1,9,consonants-av,none,1,1,3000,1,0,7,8,1,1,0,34006,<lshift>,1,34498,490,<timeout>,1,36756,2748
1-lg-t2,p1,10,consonants-av,none,1,1,3000,1,0,7,5,1,1,0,37012,<lshift>,1,37466,452,<timeout>,1,39762,2748
1-lg-t2,p1,11,consonants-av,none,1,1,3000,0,1,6,5,1,1,0,40018,<timeout>,1,42768,2748,<timeout>,0,42770,2750
1-lg-t2,p2,1,consonants-av,none,1,2,3000,0,0,3,7,1,1,0,49304,<timeout>,1,52054,2748,<timeout>,1,52055,2749
1-lg-t2,p2,2,consonants-av,none,1,2,3000,0,0,7,1,1,1,0,52311,<timeout>,1,55061,2748,<timeout>,1,55062,2749
1-lg-t2,p2,3,consonants-av,none,1,2,3000,0,1,6,7,1,1,0,55316,<timeout>,1,58066,2748,<timeout>,0,58068,2750
1-lg-t2,p2,4,consonants-av,none,1,2,3000,0,0,6,7,1,1,0,58324,<timeout>,1,61074,2748,<timeout>,1,61076,2750
1-lg-t2,p2,5,consonants-av,none,1,2,3000,1,0,6,8,1,1,0,61332,<lshift>,1,61810,476,<timeout>,1,64082,2748
1-lg-t2,p2,6,consonants-av,none,1,2,3000,0,0,5,5,1,1,0,64338,<timeout>,1,67088,2748,<timeout>,1,67090,2750
1-lg-t2,p2,7,consonants-av,none,1,2,3000,1,0,6,5,1,1,0,67345,<lshift>,1,67906,559,<timeout>,1,70095,2748
1-lg-t2,p2,8,consonants-av,none,1,2,3000,0,0,6,3,1,1,0,70349,<timeout>,1,73099,2748,<timeout>,1,73101,2750
1-lg-t2,p2,9,consonants-av,none,1,2,3000,0,0,4,7,1,1,0,73356,<timeout>,1,76106,2748,<timeout>,1,76108,2750
1-lg-t2,p2,10,consonants-av,none,1,2,3000,1,1,6,3,1,1,0,76363,<lshift>,1,76743,378,<timeout>,0,79113,2748
1-lg-t2,p2,11,consonants-av,none,1,2,3000,0,1,3,7,1,1,0,79368,<timeout>,1,82118,2748,<timeout>,0,82119,2749
1-lg-t2,p2,12,consonants-av,none,1,2,3000,1,1,6,3,1,1,0,82374,<lshift>,1,82913,537,<timeout>,0,85124,2748
1-lg-t2,p3,1,none,squares,1,1,3000,0,0,6,6,0,0,1,92509,<timeout>,1,95259,2748,<timeout>,1,95261,2750
1-lg-t2,p3,2,none,squares,1,1,3000,0,0,4,1,0,0,1,95517,<timeout>,1,98267,2748,<timeout>,1,98269,2750
1-lg-t2,p3,3,none,squares,1,1,3000,0,0,7,7,0,0,1,98525,<timeout>,1,101275,2748,<timeout>,1,101277,2750
1-lg-t2,p3,4,none,squares,1,1,3000,0,0,1,5,0,0,1,101533,<timeout>,1,104283,2748,<timeout>,1,104285,2750
