subnum,block,trial,dim1,dim2,nDim,n,isi,d1,d2,d3,d4,dotext,doaudio,dospatial,timestart,resp1,corr1,time2,rta,resp2,corr2,time3,rtb
2DST3,p1,1,consonants-av,none,1,1,3000,0,0,1,5,1,1,0,10183,<timeout>,1,12935,2749,<timeout>,1,12939,2753
2DST3,p1,2,consonants-av,none,1,1,3000,1,1,1,5,1,1,0,13200,<lshift>,1,13984,782,<timeout>,0,15953,2751
2DST3,p1,3,consonants-av,none,1,1,3000,0,0,7,4,1,1,0,16216,<timeout>,1,18968,2750,<timeout>,1,18971,2753
2DST3,p1,4,consonants-av,none,1,1,3000,0,1,5,4,1,1,0,19231,<timeout>,1,21984,2751,<timeout>,0,21986,2753
2DST3,p1,5,consonants-av,none,1,1,3000,1,0,5,1,1,1,0,22246,<lshift>,1,23167,919,<timeout>,1,24998,2750
2DST3,p1,6,consonants-av,none,1,1,3000,0,1,8,1,1,1,0,25261,<timeout>,1,28012,2749,<timeout>,0,28015,2752
2DST3,p1,7,consonants-av,none,1,1,3000,0,0,5,4,1,1,0,28274,<timeout>,1,31026,2750,<timeout>,1,31029,2753
2DST3,p1,8,consonants-av,none,1,1,3000,1,0,5,6,1,1,0,31291,<lshift>,1,32111,818,<timeout>,1,34044,2751
2DST3,p1,9,consonants-av,none,1,1,3000,1,1,5,6,1,1,0,34305,<lshift>,1,35320,1013,<timeout>,0,37056,2749
2DST3,p1,10,consonants-av,none,1,1,3000,0,0,3,7,1,1,0,37317,<timeout>,1,40069,2750,<timeout>,1,40071,2752
2DST3,p1,11,consonants-av,none,1,1,3000,0,0,8,5,1,1,0,40332,<timeout>,1,43086,2752,<timeout>,1,43089,2755
2DST3,p2,1,consonants-av,none,1,2,3000,0,0,1,6,1,1,0,50182,<timeout>,1,52934,2750,<timeout>,1,52937,2753
2DST3,p2,2,consonants-av,none,1,2,3000,0,0,5,5,1,1,0,53197,<timeout>,1,55949,2750,<timeout>,1,55952,2753
2DST3,p2,3,consonants-av,none,1,2,3000,1,1,1,6,1,1,0,56213,<lshift>,1,57087,872,<timeout>,0,58968,2753
2DST3,p2,4,consonants-av,none,1,2,3000,1,0,5,2,1,1,0,59227,<lshift>,1,60503,1273,<timeout>,1,61980,2750
2DST3,p2,5,consonants-av,none,1,2,3000,1,0,1,8,1,1,0,62239,<lshift>,1,63958,1717,<timeout>,1,64991,2750
2DST3,p2,6,consonants-av,none,1,2,3000,0,1,7,2,1,1,0,65251,<timeout>,1,68004,2751,<timeout>,0,68007,2754
2DST3,p2,7,consonants-av,none,1,2,3000,0,0,2,2,1,1,0,68269,<timeout>,1,71020,2749,<timeout>,1,71024,2753
2DST3,p2,8,consonants-av,none,1,2,3000,0,0,5,1,1,1,0,71285,<timeout>,1,74038,2751,<timeout>,1,74041,2754
2DST3,p2,9,consonants-av,none,1,2,3000,1,1,2,2,1,1,0,74301,<lshift>,1,75131,828,<timeout>,0,77053,2750
2DST3,p2,10,consonants-av,none,1,2,3000,0,0,8,4,1,1,0,77313,<timeout>,1,80066,2751,<timeout>,1,80069,2754
2DST3,p2,11,consonants-av,none,1,2,3000,0,0,3,6,1,1,0,80330,<timeout>,1,83081,2749,<timeout>,1,83084,2752
2DST3,p2,12,consonants-av,none,1,2,3000,0,1,2,4,1,1,0,83344,<timeout>,1,86096,2751,<timeout>,0,86100,2755
2DST3,p3,1,none,squares,1,1,3000,0,0,3,4,0,0,1,94051,<timeout>,1,96804,2751,<timeout>,1,96807,2754
2DST3,p3,2,none,squares,1,1,3000,0,0,6,6,0,0,1,97066,<timeout>,1,99818,2750,<timeout>,1,99821,2753
2DST3,p3,3,none,squares,1,1,3000,0,0,8,8,0,0,1,100081,<timeout>,1,102834,2751,<timeout>,1,102836,2753
2DST3,p3,4,none,squares,1,1,3000,0,0,7,7,0,0,1,103096,<timeout>,1,105849,2751,<timeout>,1,105852,2754
2DST3,p3,5,none,squares,1,1,3000,1,0,7,1,0,0,1,106113,<timeout>,0,108866,2752,<timeout>,1,108869,2755
2DST3,p3,6,none,squares,1,1,3000,1,1,7,1,0,0,1,109129,<rshift>,0,109773,642,<timeout>,1,111881,2750
2DST3,p3,7,none,squares,1,1,3000,0,1,4,1,0,0,1,112140,<rshift>,1,112978,836,<timeout>,1,114893,2751
2DST3,p3,8,none,squares,1,1,3000,0,0,1,4,0,0,1,115154,<timeout>,1,117905,2749,<timeout>,1,117908,2752
2DST3,p3,9,none,squares,1,1,3000,1,0,1,3,0,0,1,118169,<timeout>,0,120920,2749,<timeout>,1,120923,2752
2DST3,p3,10,none,squares,1,1,3000,0,1,3,3,0,0,1,121182,<rshift>,1,121738,554,<timeout>,1,123935,2751
2DST3,p3,11,none,squares,1,1,3000,1,1,3,3,0,0,1,124194,<rshift>,0,124814,618,<timeout>,1,126947,2751
2DST3,p4,1,consonants-av,squares,2,1,3000,0,0,7,8,1,1,1,137345,<timeout>,1,140096,2749,<timeout>,1,140100,2753
2DST3,p4,2,consonants-av,squares,2,1,3000,0,1,5,8,1,1,1,140362,<rshift>,1,141062,698,<timeout>,1,143114,2750
2DST3,p4,3,consonants-av,squares,2,1,3000,1,0,5,2,1,1,1,143375,<lshift>,1,144560,1183,<timeout>,1,146127,2750
2DST3,p4,4,consonants-av,squares,2,1,3000,1,1,5,2,1,1,1,146388,<lshift>,1,147290,900,<rshift>,1,147300,910
2DST3,p4,5,consonants-av,squares,2,1,3000,0,0,6,7,1,1,1,149397,<timeout>,1,152149,2750,<timeout>,1,152151,2752
2DST3,p4,6,consonants-av,squares,2,1,3000,0,0,7,6,1,1,1,152410,<timeout>,1,155162,2750,<timeout>,1,155165,2753
2DST3,p4,7,consonants-av,squares,2,1,3000,0,0,2,8,1,1,1,155425,<timeout>,1,158177,2750,<timeout>,1,158180,2753
2DST3,p4,8,consonants-av,squares,2,1,3000,1,0,2,1,1,1,1,158439,<lshift>,1,159850,1409,<timeout>,1,161191,2750
2DST3,p4,9,consonants-av,squares,2,1,3000,1,1,2,1,1,1,1,161450,<lshift>,1,162415,963,<rshift>,1,162426,974
2DST3,p4,10,consonants-av,squares,2,1,3000,0,1,4,1,1,1,1,164461,<rshift>,1,166060,1597,<timeout>,1,167214,2751
2DST3,p4,11,consonants-av,squares,2,1,3000,0,0,7,5,1,1,1,167474,<timeout>,1,170227,2752,<timeout>,1,170230,2755
2DST3,t1,1,consonants-av,squares,2,1,3000,0,0,2,6,1,1,1,181424,<timeout>,1,184177,2750,<timeout>,1,184180,2753
2DST3,t1,2,consonants-av,squares,2,1,3000,1,0,2,8,1,1,1,184439,<lshift>,1,185829,1387,<timeout>,1,187192,2750
2DST3,t1,3,consonants-av,squares,2,1,3000,0,0,8,1,1,1,1,187451,<timeout>,1,190203,2749,<timeout>,1,190206,2752
2DST3,t1,4,consonants-av,squares,2,1,3000,0,0,4,6,1,1,1,190467,<timeout>,1,193220,2751,<timeout>,1,193223,2754
2DST3,t1,5,consonants-av,squares,2,1,3000,0,1,1,6,1,1,1,193483,<rshift>,1,194489,1004,<timeout>,1,196235,2750
2DST3,t1,6,consonants-av,squares,2,1,3000,0,0,5,4,1,1,1,196495,<timeout>,1,199247,2750,<timeout>,1,199250,2753
2DST3,t1,7,consonants-av,squares,2,1,3000,0,0,7,1,1,1,1,199509,<timeout>,1,202260,2749,<timeout>,1,202263,2752
2DST3,t1,8,consonants-av,squares,2,1,3000,0,0,2,3,1,1,1,202524,<timeout>,1,205277,2751,<timeout>,1,205280,2754
2DST3,t1,9,consonants-av,squares,2,1,3000,0,0,1,5,1,1,1,205542,<timeout>,1,208293,2748,<timeout>,1,208295,2750
2DST3,t1,10,consonants-av,squares,2,1,3000,1,1,1,5,1,1,1,208554,<lshift>,1,209417,861,<rshift>,1,209437,881
2DST3,t1,11,consonants-av,squares,2,1,3000,0,0,3,1,1,1,1,211563,<timeout>,1,214316,2750,<timeout>,1,214319,2753
2DST3,t1,12,consonants-av,squares,2,1,3000,0,0,4,7,1,1,1,214579,<timeout>,1,217332,2751,<timeout>,1,217335,2754
2DST3,t1,13,consonants-av,squares,2,1,3000,0,1,6,7,1,1,1,217595,<timeout>,1,220348,2751,<timeout>,0,220351,2754
2DST3,t1,14,consonants-av,squares,2,1,3000,1,0,6,5,1,1,1,220610,<lshift>,1,221856,1244,<timeout>,1,223361,2749
2DST3,t1,15,consonants-av,squares,2,1,3000,1,0,6,6,1,1,1,223621,<lshift>,1,224858,1234,<timeout>,1,226374,2750
2DST3,t1,16,consonants-av,squares,2,1,3000,0,0,8,2,1,1,1,226634,<timeout>,1,229386,2750,<timeout>,1,229389,2753
2DST3,t1,17,consonants-av,squares,2,1,3000,0,1,2,2,1,1,1,229649,<rshift>,1,231169,1518,<timeout>,1,232401,2750
2DST3,t1,18,consonants-av,squares,2,1,3000,0,1,6,2,1,1,1,232661,<rshift>,1,234270,1607,<timeout>,1,235412,2749
2DST3,t1,19,consonants-av,squares,2,1,3000,0,0,5,8,1,1,1,235673,<timeout>,1,238426,2751,<timeout>,1,238430,2755
2DST3,t1,20,consonants-av,squares,2,1,3000,1,1,5,8,1,1,1,238689,<lshift>,1,239459,768,<rshift>,1,239473,782
2DST3,t1,21,consonants-av,squares,2,1,3000,0,1,1,8,1,1,1,241697,<rshift>,1,242889,1189,<timeout>,1,244449,2749
2DST3,t1,22,consonants-av,squares,2,1,3000,0,0,6,6,1,1,1,244709,<timeout>,1,247460,2749,<timeout>,1,247464,2753
2DST3,t1,23,consonants-av,squares,2,1,3000,0,0,3,1,1,1,1,247723,<timeout>,1,250475,2750,<timeout>,1,250478,2753
2DST3,t1,24,consonants-av,squares,2,1,3000,1,0,3,7,1,1,1,250738,<lshift>,1,252107,1367,<timeout>,1,253490,2750
2DST3,t1,25,consonants-av,squares,2,1,3000,1,1,3,7,1,1,1,253750,<lshift>,1,255230,1478,<timeout>,0,256501,2749
2DST3,t1,26,consonants-av,squares,2,1,3000,0,0,4,4,1,1,1,256761,<timeout>,1,259513,2750,<timeout>,1,259516,2753
2DST3,t1,27,consonants-av,squares,2,1,3000,0,0,3,2,1,1,1,259776,<timeout>,1,262529,2750,<timeout>,1,262532,2753
2DST3,t1,28,consonants-av,squares,2,1,3000,0,0,7,7,1,1,1,262794,<timeout>,1,265547,2751,<timeout>,1,265551,2755
2DST3,t1,29,consonants-av,squares,2,1,3000,0,1,3,7,1,1,1,265811,<rshift>,1,267547,1733,<timeout>,1,268562,2748
2DST3,t1,30,consonants-av,squares,2,1,3000,1,0,3,3,1,1,1,268822,<lshift>,1,270084,1259,<timeout>,1,271574,2749
2DST3,t1,31,consonants-av,squares,2,1,3000,1,0,3,7,1,1,1,271833,<lshift>,1,272808,972,<timeout>,1,274584,2748
2DST3,t2,1,consonants-av,squares,2,2,3000,0,0,5,2,1,1,1,283204,<timeout>,1,285957,2751,<timeout>,1,285960,2754
2DST3,t2,2,consonants-av,squares,2,2,3000,0,0,8,1,1,1,1,286221,<timeout>,1,288972,2749,<timeout>,1,288975,2752
2DST3,t2,3,consonants-av,squares,2,2,3000,0,1,3,2,1,1,1,289235,<rshift>,1,290327,1090,<timeout>,1,291989,2752
2DST3,t2,4,consonants-av,squares,2,2,3000,1,0,8,5,1,1,1,292249,<timeout>,0,295001,2750,<timeout>,1,295004,2753
2DST3,t2,5,consonants-av,squares,2,2,3000,0,1,6,2,1,1,1,295263,<timeout>,1,298015,2750,<timeout>,0,298019,2754
2DST3,t2,6,consonants-av,squares,2,2,3000,0,0,2,4,1,1,1,298276,<timeout>,1,301029,2750,<timeout>,1,301033,2754
2DST3,t2,7,consonants-av,squares,2,2,3000,0,0,7,7,1,1,1,301293,<timeout>,1,304046,2751,<timeout>,1,304050,2755
2DST3,t2,8,consonants-av,squares,2,2,3000,0,0,4,2,1,1,1,304309,<timeout>,1,307061,2749,<timeout>,1,307064,2752
2DST3,t2,9,consonants-av,squares,2,2,3000,0,0,1,5,1,1,1,307323,<timeout>,1,310076,2751,<timeout>,1,310079,2754
2DST3,t2,10,consonants-av,squares,2,2,3000,1,0,4,3,1,1,1,310341,<lshift>,1,311332,989,<timeout>,1,313094,2751
2DST3,t2,11,consonants-av,squares,2,2,3000,0,0,2,6,1,1,1,313355,<timeout>,1,316108,2751,<timeout>,1,316111,2754
2DST3,t2,12,consonants-av,squares,2,2,3000,0,0,6,1,1,1,1,316371,<timeout>,1,319124,2750,<timeout>,1,319127,2753
2DST3,t2,13,consonants-av,squares,2,2,3000,1,1,2,6,1,1,1,319387,<lshift>,1,320380,991,<rshift>,1,320388,999
