subnum,block,trial,dim1,dim2,nDim,n,isi,d1,d2,d3,d4,dotext,doaudio,dospatial,timestart,resp1,corr1,time2,rta,resp2,corr2,time3,rtb
2LGT4,p1,1,consonants-av,none,1,1,3000,0,0,4,3,1,1,0,13048,<timeout>,1,15801,2751,<timeout>,1,15804,2754
2LGT4,p1,2,consonants-av,none,1,1,3000,0,0,2,6,1,1,0,16065,<timeout>,1,18817,2750,<timeout>,1,18820,2753
2LGT4,p1,3,consonants-av,none,1,1,3000,0,0,4,8,1,1,0,19079,<timeout>,1,21831,2750,<timeout>,1,21834,2753
2LGT4,p1,4,consonants-av,none,1,1,3000,1,1,4,8,1,1,0,22094,<lshift>,1,22644,548,<timeout>,0,24846,2750
2LGT4,p1,5,consonants-av,none,1,1,3000,1,0,4,4,1,1,0,25106,<lshift>,1,25584,476,<timeout>,1,27858,2750
2LGT4,p1,6,consonants-av,none,1,1,3000,0,0,2,7,1,1,0,28123,<timeout>,1,30877,2752,<timeout>,1,30881,2756
2LGT4,p1,7,consonants-av,none,1,1,3000,0,0,7,6,1,1,0,31141,<timeout>,1,33893,2750,<timeout>,1,33896,2753
2LGT4,p1,8,consonants-av,none,1,1,3000,1,0,7,5,1,1,0,34157,<lshift>,1,34711,552,<timeout>,1,36910,2751
2LGT4,p1,9,consonants-av,none,1,1,3000,0,1,3,5,1,1,0,37170,<timeout>,1,39922,2750,<timeout>,0,39925,2753
2LGT4,p1,10,consonants-av,none,1,1,3000,0,1,8,5,1,1,0,40186,<timeout>,1,42937,2749,<timeout>,0,42940,2752
2LGT4,p1,11,consonants-av,none,1,1,3000,1,1,8,5,1,1,0,43201,<lshift>,1,43928,725,<timeout>,0,45954,2751
2LGT4,p2,1,consonants-av,none,1,2,3000,0,0,1,4,1,1,0,54017,<timeout>,1,56769,2749,<timeout>,1,56773,2753
2LGT4,p2,2,consonants-av,none,1,2,3000,0,0,2,2,1,1,0,57032,<timeout>,1,59784,2750,<timeout>,1,59787,2753
2LGT4,p2,3,consonants-av,none,1,2,3000,1,1,1,4,1,1,0,60048,<lshift>,1,60460,410,<timeout>,0,62801,2751
2LGT4,p2,4,consonants-av,none,1,2,3000,0,0,6,4,1,1,0,63063,<timeout>,1,65816,2752,<timeout>,1,65819,2755
2LGT4,p2,5,consonants-av,none,1,2,3000,0,0,2,7,1,1,0,66080,<timeout>,1,68832,2750,<timeout>,1,68835,2753
2LGT4,p2,6,consonants-av,none,1,2,3000,0,0,8,3,1,1,0,69096,<timeout>,1,71847,2749,<timeout>,1,71850,2752
2LGT4,p2,7,consonants-av,none,1,2,3000,1,1,2,7,1,1,0,72111,<lshift>,1,72604,491,<timeout>,0,74864,2751
2LGT4,p2,8,consonants-av,none,1,2,3000,0,0,7,1,1,1,0,75124,<timeout>,1,77875,2749,<timeout>,1,77878,2752
2LGT4,p2,9,consonants-av,none,1,2,3000,0,1,6,7,1,1,0,78139,<timeout>,1,80892,2751,<timeout>,0,80895,2754
2LGT4,p2,10,consonants-av,none,1,2,3000,1,0,7,4,1,1,0,81155,<lshift>,1,81527,370,<timeout>,1,83908,2751
2LGT4,p2,11,consonants-av,none,1,2,3000,1,0,6,4,1,1,0,84167,<lshift>,1,84897,728,<timeout>,1,86919,2750
2LGT4,p2,12,consonants-av,none,1,2,3000,0,1,3,4,1,1,0,87178,<timeout>,1,89931,2750,<timeout>,0,89934,2753
2LGT4,p3,1,none,squares,1,1,3000,0,0,3,6,0,0,1,97825,<timeout>,1,100577,2750,<timeout>,1,100580,2753
2LGT4,p3,2,none,squares,1,1,3000,1,1,3,6,0,0,1,100841,<rshift>,0,101165,322,<timeout>,1,103594,2751
2LGT4,p3,3,none,squares,1,1,3000,0,0,8,1,0,0,1,103853,<timeout>,1,106605,2750,<timeout>,1,106608,2753
2LGT4,p3,4,none,squares,1,1,3000,0,0,5,5,0,0,1,106867,<timeout>,1,109619,2751,<timeout>,1,109622,2754
2LGT4,p3,5,none,squares,1,1,3000,1,1,5,5,0,0,1,109883,<rshift>,0,110351,467,<timeout>,1,112635,2751
2LGT4,p3,6,none,squares,1,1,3000,0,0,4,3,0,0,1,112895,<timeout>,1,115648,2752,<timeout>,1,115651,2755
2LGT4,p3,7,none,squares,1,1,3000,1,0,4,2,0,0,1,115911,<timeout>,0,118663,2750,<timeout>,1,118665,2752
2LGT4,p3,8,none,squares,1,1,3000,1,0,4,7,0,0,1,118925,<timeout>,0,121678,2751,<timeout>,1,121681,2754
2LGT4,p3,9,none,squares,1,1,3000,0,1,3,7,0,0,1,121941,<rshift>,1,122448,506,<timeout>,1,124693,2751
2LGT4,p3,10,none,squares,1,1,3000,0,1,1,7,0,0,1,124953,<rshift>,1,125319,365,<timeout>,1,127706,2752
2LGT4,p3,11,none,squares,1,1,3000,0,0,2,4,0,0,1,127967,<timeout>,1,130718,2749,<timeout>,1,130722,2753
2LGT4,p4,1,consonants-av,squares,2,1,3000,0,0,5,6,1,1,1,139968,<timeout>,1,142721,2750,<timeout>,1,142724,2753
2LGT4,p4,2,consonants-av,squares,2,1,3000,1,0,5,2,1,1,1,142985,<lshift>,1,143571,584,<timeout>,1,145736,2749
