subnum,block,trial,dim1,dim2,nDim,n,isi,d1,d2,d3,d4,dotext,doaudio,dospatial,timestart,resp1,corr1,time2,rta,resp2,corr2,time3,rtb
3DST,p1,1,consonants-av,none,1,1,3000,0,0,8,6,1,1,0,20909,<timeout>,1,23662,2751,<timeout>,1,23666,2755
3DST,p1,2,consonants-av,none,1,1,3000,0,0,5,8,1,1,0,23926,<timeout>,1,26678,2750,<timeout>,1,26682,2754
3DST,p1,3,consonants-av,none,1,1,3000,1,1,5,8,1,1,0,26941,<lshift>,1,27684,741,<timeout>,0,29694,2751
3DST,p1,4,consonants-av,none,1,1,3000,0,0,2,3,1,1,0,29955,<timeout>,1,32708,2751,<timeout>,1,32711,2754
3DST,p1,5,consonants-av,none,1,1,3000,0,0,3,4,1,1,0,32970,<timeout>,1,35722,2750,<timeout>,1,35725,2753
3DST,p1,6,consonants-av,none,1,1,3000,1,1,3,4,1,1,0,35987,<lshift>,1,36821,832,<timeout>,0,38740,2751
3DST,p1,7,consonants-av,none,1,1,3000,1,0,3,3,1,1,0,39002,<lshift>,1,39944,940,<timeout>,1,41754,2750
3DST,p1,8,consonants-av,none,1,1,3000,0,0,1,6,1,1,0,42013,<timeout>,1,44767,2752,<timeout>,1,44770,2755
3DST,p1,9,consonants-av,none,1,1,3000,0,1,2,6,1,1,0,45030,<timeout>,1,47782,2750,<timeout>,0,47784,2752
3DST,p1,10,consonants-av,none,1,1,3000,0,1,7,6,1,1,0,48045,<timeout>,1,50797,2749,<timeout>,0,50800,2752
3DST,p1,11,consonants-av,none,1,1,3000,1,0,7,8,1,1,0,51058,<lshift>,1,51851,791,<timeout>,1,53811,2751
3DST,p2,1,consonants-av,none,1,2,3000,0,0,1,6,1,1,0,65847,<timeout>,1,68600,2751,<timeout>,1,68603,2754
3DST,p2,2,consonants-av,none,1,2,3000,0,0,4,3,1,1,0,68864,<timeout>,1,71617,2751,<timeout>,1,71619,2753
3DST,p2,3,consonants-av,none,1,2,3000,0,1,6,6,1,1,0,71878,<timeout>,1,74630,2750,<timeout>,0,74634,2754
3DST,p2,4,consonants-av,none,1,2,3000,0,0,8,6,1,1,0,74894,<timeout>,1,77646,2750,<timeout>,1,77649,2753
3DST,p2,5,consonants-av,none,1,2,3000,0,0,4,1,1,1,0,77909,<timeout>,1,80661,2750,<timeout>,1,80664,2753
3DST,p2,6,consonants-av,none,1,2,3000,0,0,4,4,1,1,0,80924,<timeout>,1,83677,2751,<timeout>,1,83680,2754
3DST,p2,7,consonants-av,none,1,2,3000,1,1,4,1,1,1,0,83942,<lshift>,1,84605,661,<timeout>,0,86694,2750
3DST,p2,8,consonants-av,none,1,2,3000,0,1,2,4,1,1,0,86954,<timeout>,1,89706,2750,<timeout>,0,89709,2753
3DST,p2,9,consonants-av,none,1,2,3000,0,0,5,5,1,1,0,89970,<timeout>,1,92724,2753,<timeout>,1,92728,2757
3DST,p2,10,consonants-av,none,1,2,3000,1,0,2,2,1,1,0,92988,<lshift>,1,93840,850,<timeout>,1,95740,2750
3DST,p2,11,consonants-av,none,1,2,3000,1,1,5,5,1,1,0,95999,<lshift>,1,97054,1052,<timeout>,0,98751,2749
3DST,p2,12,consonants-av,none,1,2,3000,1,0,2,6,1,1,0,99012,<lshift>,1,101668,2654,<timeout>,1,101764,2750
3DST,p3,1,none,squares,1,1,3000,0,0,3,2,0,0,1,111911,<timeout>,1,114664,2751,<timeout>,1,114668,2755
3DST,p3,2,none,squares,1,1,3000,0,1,8,2,0,0,1,114930,<rshift>,1,115754,822,<timeout>,1,117682,2750
3DST,p3,3,none,squares,1,1,3000,1,0,8,5,0,0,1,117941,<timeout>,0,120693,2750,<timeout>,1,120696,2753
3DST,p3,4,none,squares,1,1,3000,0,1,3,5,0,0,1,120957,<rshift>,1,121604,646,<timeout>,1,123710,2752
3DST,p3,5,none,squares,1,1,3000,1,1,3,5,0,0,1,123971,<rshift>,0,124919,947,<timeout>,1,126724,2752
3DST,p3,6,none,squares,1,1,3000,1,0,3,1,0,0,1,126984,<timeout>,0,129735,2749,<timeout>,1,129738,2752
3DST,p3,7,none,squares,1,1,3000,1,1,3,1,0,0,1,129998,<rshift>,0,130473,473,<timeout>,1,132750,2750
3DST,p3,8,none,squares,1,1,3000,0,0,1,4,0,0,1,133010,<timeout>,1,135762,2750,<timeout>,1,135765,2753
3DST,p3,9,none,squares,1,1,3000,0,0,4,7,0,0,1,136026,<timeout>,1,138779,2751,<timeout>,1,138781,2753
3DST,p3,10,none,squares,1,1,3000,0,0,3,3,0,0,1,139040,<timeout>,1,141793,2751,<timeout>,1,141796,2754
3DST,p3,11,none,squares,1,1,3000,0,0,8,7,0,0,1,142055,<timeout>,1,144808,2751,<timeout>,1,144811,2754
3DST,p4,1,consonants-av,squares,2,1,3000,0,0,4,6,1,1,1,159256,<timeout>,1,162009,2751,<timeout>,1,162012,2754
3DST,p4,2,consonants-av,squares,2,1,3000,0,0,5,7,1,1,1,162271,<timeout>,1,165023,2751,<timeout>,1,165026,2754
3DST,p4,3,consonants-av,squares,2,1,3000,1,1,5,7,1,1,1,165287,<rshift>,1,166270,981,<lshift>,1,166282,993
3DST,p4,4,consonants-av,squares,2,1,3000,0,0,6,5,1,1,1,168298,<timeout>,1,171051,2751,<timeout>,1,171054,2754
3DST,p4,5,consonants-av,squares,2,1,3000,0,0,1,8,1,1,1,171314,<timeout>,1,174066,2750,<timeout>,1,174069,2753
3DST,p4,6,consonants-av,squares,2,1,3000,1,1,1,8,1,1,1,174330,<rshift>,1,175151,819,<lshift>,1,175162,830
3DST,p4,7,consonants-av,squares,2,1,3000,1,0,1,7,1,1,1,177339,<lshift>,1,178559,1218,<timeout>,1,180092,2751
3DST,p4,8,consonants-av,squares,2,1,3000,0,0,2,3,1,1,1,180352,<timeout>,1,183104,2750,<timeout>,1,183107,2753
3DST,p4,9,consonants-av,squares,2,1,3000,0,1,4,3,1,1,1,183368,<rshift>,1,184915,1545,<timeout>,1,186120,2750
3DST,p4,10,consonants-av,squares,2,1,3000,0,1,1,3,1,1,1,186381,<rshift>,1,188400,2016,<timeout>,1,189134,2750
3DST,p4,11,consonants-av,squares,2,1,3000,1,0,1,7,1,1,1,189394,<lshift>,1,190535,1138,<timeout>,1,192146,2749
3DST,t1,1,consonants-av,squares,2,1,3000,0,0,1,1,1,1,1,202450,<timeout>,1,205202,2749,<timeout>,1,205205,2752
3DST,t1,2,consonants-av,squares,2,1,3000,0,0,2,3,1,1,1,205467,<timeout>,1,208219,2749,<timeout>,1,208223,2753
3DST,t1,3,consonants-av,squares,2,1,3000,1,0,2,5,1,1,1,208484,<lshift>,1,209671,1185,<timeout>,1,211236,2750
3DST,t1,4,consonants-av,squares,2,1,3000,0,0,5,8,1,1,1,211496,<timeout>,1,214248,2750,<timeout>,1,214251,2753
3DST,t1,5,consonants-av,squares,2,1,3000,1,0,5,3,1,1,1,214510,<lshift>,1,216224,1712,<timeout>,1,217261,2749
3DST,t1,6,consonants-av,squares,2,1,3000,1,0,5,2,1,1,1,217520,<lshift>,1,218992,1470,<timeout>,1,220272,2750
3DST,t1,7,consonants-av,squares,2,1,3000,1,0,5,7,1,1,1,220533,<lshift>,1,221708,1173,<timeout>,1,223285,2750
3DST,t1,8,consonants-av,squares,2,1,3000,1,1,5,7,1,1,1,223544,<lshift>,1,224503,957,<rshift>,1,224514,968
3DST,t1,9,consonants-av,squares,2,1,3000,0,1,2,7,1,1,1,226553,<rshift>,1,227579,1024,<timeout>,1,229305,2750
3DST,t1,10,consonants-av,squares,2,1,3000,0,1,6,7,1,1,1,229565,<rshift>,1,230302,734,<timeout>,1,232317,2749
3DST,t1,11,consonants-av,squares,2,1,3000,0,0,7,8,1,1,1,232578,<timeout>,1,235331,2751,<timeout>,1,235334,2754
3DST,t1,12,consonants-av,squares,2,1,3000,0,0,1,3,1,1,1,235595,<timeout>,1,238346,2749,<timeout>,1,238350,2753
3DST,t1,13,consonants-av,squares,2,1,3000,1,1,1,3,1,1,1,238610,<lshift>,1,239400,788,<rshift>,1,239411,799
3DST,t1,14,consonants-av,squares,2,1,3000,0,1,2,3,1,1,1,241620,<rshift>,1,243998,2376,<timeout>,1,244371,2749
3DST,t1,15,consonants-av,squares,2,1,3000,0,0,5,7,1,1,1,244631,<timeout>,1,247384,2751,<timeout>,1,247388,2755
3DST,t1,16,consonants-av,squares,2,1,3000,0,0,4,8,1,1,1,247649,<timeout>,1,250401,2750,<timeout>,1,250404,2753
3DST,t1,17,consonants-av,squares,2,1,3000,0,0,2,1,1,1,1,250663,<timeout>,1,253415,2750,<timeout>,1,253418,2753
3DST,t1,18,consonants-av,squares,2,1,3000,0,0,1,6,1,1,1,253678,<timeout>,1,256430,2750,<timeout>,1,256433,2753
3DST,t1,19,consonants-av,squares,2,1,3000,0,0,2,8,1,1,1,256694,<timeout>,1,259445,2749,<timeout>,1,259448,2752
3DST,t1,20,consonants-av,squares,2,1,3000,1,1,2,8,1,1,1,259708,<rshift>,1,260454,744,<lshift>,1,260465,755
3DST,t1,21,consonants-av,squares,2,1,3000,0,1,3,8,1,1,1,262718,<rshift>,1,263917,1197,<timeout>,1,265470,2750
3DST,t1,22,consonants-av,squares,2,1,3000,0,0,2,7,1,1,1,265730,<timeout>,1,268482,2749,<timeout>,1,268485,2752
3DST,t1,23,consonants-av,squares,2,1,3000,0,0,4,4,1,1,1,268745,<timeout>,1,271498,2751,<timeout>,1,271502,2755
3DST,t1,24,consonants-av,squares,2,1,3000,0,0,7,3,1,1,1,271763,<timeout>,1,274515,2751,<timeout>,1,274518,2754
3DST,t1,25,consonants-av,squares,2,1,3000,1,0,7,7,1,1,1,274777,<timeout>,0,277531,2752,<timeout>,1,277533,2754
3DST,t1,26,consonants-av,squares,2,1,3000,0,0,2,5,1,1,1,277792,<timeout>,1,280545,2751,<timeout>,1,280548,2754
3DST,t1,27,consonants-av,squares,2,1,3000,0,0,8,2,1,1,1,280809,<timeout>,1,283561,2750,<timeout>,1,283564,2753
3DST,t1,28,consonants-av,squares,2,1,3000,0,0,4,5,1,1,1,283824,<timeout>,1,286578,2752,<timeout>,1,286582,2756
3DST,t1,29,consonants-av,squares,2,1,3000,1,0,4,8,1,1,1,286842,<lshift>,1,287841,997,<timeout>,1,289594,2750
3DST,t1,30,consonants-av,squares,2,1,3000,0,1,8,8,1,1,1,289855,<timeout>,1,292608,2751,<timeout>,0,292611,2754
3DST,t1,31,consonants-av,squares,2,1,3000,0,1,2,8,1,1,1,292871,<rshift>,1,294007,1134,<timeout>,1,295624,2751
3DST,t2,1,consonants-av,squares,2,2,3000,0,0,2,5,1,1,1,305547,<timeout>,1,308299,2750,<timeout>,1,308303,2754
3DST,t2,2,consonants-av,squares,2,2,3000,0,0,6,1,1,1,1,308564,<timeout>,1,311317,2751,<timeout>,1,311320,2754
3DST,t2,3,consonants-av,squares,2,2,3000,0,0,1,4,1,1,1,311580,<timeout>,1,314333,2751,<timeout>,1,314336,2754
3DST,t2,4,consonants-av,squares,2,2,3000,0,0,5,2,1,1,1,314597,<timeout>,1,317350,2752,<timeout>,1,317353,2755
3DST,t2,5,consonants-av,squares,2,2,3000,0,1,6,4,1,1,1,317613,<rshift>,1,318838,1223,<timeout>,1,320366,2751
3DST,t2,6,consonants-av,squares,2,2,3000,0,1,7,2,1,1,1,320627,<timeout>,1,323380,2750,<timeout>,0,323384,2754
3DST,t2,7,consonants-av,squares,2,2,3000,0,0,1,2,1,1,1,323644,<timeout>,1,326397,2751,<timeout>,1,326400,2754
3DST,t2,8,consonants-av,squares,2,2,3000,0,0,8,1,1,1,1,326660,<timeout>,1,329412,2750,<timeout>,1,329415,2753
3DST,t2,9,consonants-av,squares,2,2,3000,0,0,4,1,1,1,1,329678,<timeout>,1,332430,2750,<timeout>,1,332433,2753
3DST,t2,10,consonants-av,squares,2,2,3000,0,0,4,7,1,1,1,332692,<timeout>,1,335444,2750,<timeout>,1,335447,2753
3DST,t2,11,consonants-av,squares,2,2,3000,1,0,4,7,1,1,1,335707,<lshift>,1,336645,935,<rshift>,0,336654,944
3DST,t2,12,consonants-av,squares,2,2,3000,0,1,7,7,1,1,1,338716,<rshift>,1,340697,1979,<timeout>,1,341467,2749
3DST,t2,13,consonants-av,squares,2,2,3000,1,0,4,5,1,1,1,341728,<lshift>,1,343421,1691,<timeout>,1,344479,2749
3DST,t2,14,consonants-av,squares,2,2,3000,0,0,4,3,1,1,1,344739,<lshift>,0,347226,2484,<timeout>,1,347491,2749
3DST,t2,15,consonants-av,squares,2,2,3000,0,0,3,6,1,1,1,347752,<timeout>,1,350505,2751,<timeout>,1,350508,2754
3DST,t2,16,consonants-av,squares,2,2,3000,0,0,6,2,1,1,1,350767,<timeout>,1,353520,2750,<timeout>,1,353523,2753
3DST,t2,17,consonants-av,squares,2,2,3000,1,0,3,8,1,1,1,353785,<timeout>,0,356538,2751,<timeout>,1,356541,2754
3DST,t2,18,consonants-av,squares,2,2,3000,0,1,1,2,1,1,1,356801,<timeout>,1,359552,2749,<timeout>,0,359555,2752
