subnum,block,trial,dim1,dim2,nDim,n,isi,d1,d2,d3,d4,dotext,doaudio,dospatial,timestart,resp1,corr1,time2,rta,resp2,corr2,time3,rtb
3VAT3new,p1,1,consonants-av,none,1,1,3000,0,0,6,4,1,1,0,8485,<timeout>,1,11238,2748,<timeout>,1,11243,2753
3VAT3new,p1,2,consonants-av,none,1,1,3000,1,0,6,7,1,1,0,11510,<lshift>,1,12265,751,<timeout>,1,14263,2749
3VAT3new,p1,3,consonants-av,none,1,1,3000,0,1,7,7,1,1,0,14533,<timeout>,1,17286,2749,<timeout>,0,17292,2755
3VAT3new,p1,4,consonants-av,none,1,1,3000,0,0,4,5,1,1,0,17559,<timeout>,1,20313,2749,<timeout>,1,20319,2755
3VAT3new,p1,5,consonants-av,none,1,1,3000,1,1,4,5,1,1,0,20585,<lshift>,1,20983,392,<timeout>,0,23336,2745
3VAT3new,p1,6,consonants-av,none,1,1,3000,0,0,3,3,1,1,0,23606,<timeout>,1,26357,2746,<timeout>,1,26361,2750
3VAT3new,p1,7,consonants-av,none,1,1,3000,1,1,3,3,1,1,0,26626,<lshift>,1,27192,561,<timeout>,0,29378,2747
3VAT3new,p1,8,consonants-av,none,1,1,3000,0,0,8,4,1,1,0,29644,<timeout>,1,32396,2747,<timeout>,1,32402,2753
3VAT3new,p1,9,consonants-av,none,1,1,3000,1,0,8,3,1,1,0,32672,<lshift>,1,33365,687,<timeout>,1,35424,2746
3VAT3new,p1,10,consonants-av,none,1,1,3000,0,0,3,4,1,1,0,35690,<lshift>,0,36661,963,<timeout>,1,38442,2744
3VAT3new,p1,11,consonants-av,none,1,1,3000,0,1,8,4,1,1,0,38708,<timeout>,1,41460,2747,<timeout>,0,41465,2752
3VAT3new,p2,1,consonants-av,none,1,2,3000,0,0,3,3,1,1,0,46992,<timeout>,1,49744,2746,<timeout>,1,49749,2751
3VAT3new,p2,2,consonants-av,none,1,2,3000,0,0,2,7,1,1,0,50017,<timeout>,1,52769,2747,<timeout>,1,52774,2752
3VAT3new,p2,3,consonants-av,none,1,2,3000,1,0,3,1,1,1,0,53042,<lshift>,1,53589,542,<lshift>,1,53789,742
3VAT3new,p2,4,consonants-av,none,1,2,3000,1,1,2,7,1,1,0,56055,<lshift>,1,58127,2066,<timeout>,0,58808,2747
3VAT3new,p2,5,consonants-av,none,1,2,3000,0,1,6,1,1,1,0,59075,<timeout>,1,61826,2746,<timeout>,0,61832,2752
3VAT3new,p2,6,consonants-av,none,1,2,3000,0,0,8,4,1,1,0,62097,<timeout>,1,64850,2748,<timeout>,1,64855,2753
3VAT3new,p2,7,consonants-av,none,1,2,3000,0,0,3,5,1,1,0,65121,<timeout>,1,67873,2746,<timeout>,1,67879,2752
3VAT3new,p2,8,consonants-av,none,1,2,3000,1,1,8,4,1,1,0,68148,<lshift>,1,68846,693,<timeout>,0,70900,2747
