subnum,block,trial,dim1,dim2,nDim,n,isi,d1,d2,d3,d4,dotext,doaudio,dospatial,timestart,resp1,corr1,time2,rta,resp2,corr2,time3,rtb
136,p1,1,consonants-av,none,1,1,3000,0,0,2,5,1,1,0,15985,<timeout>,1,18735,2748,<timeout>,1,18737,2750
136,p1,2,consonants-av,none,1,1,3000,0,0,1,1,1,1,0,18993,<timeout>,1,21743,2748,<timeout>,1,21745,2750
136,p1,3,consonants-av,none,1,1,3000,0,0,8,4,1,1,0,22000,<timeout>,1,24750,2748,<timeout>,1,24752,2750
136,p1,4,consonants-av,none,1,1,3000,1,0,8,5,1,1,0,25008,<lshift>,1,25982,972,<timeout>,1,27758,2748
136,p1,5,consonants-av,none,1,1,3000,1,1,8,5,1,1,0,28012,<lshift>,1,28640,626,<timeout>,0,30762,2748
136,p1,6,consonants-av,none,1,1,3000,0,1,1,5,1,1,0,31019,<timeout>,1,33769,2748,<timeout>,0,33771,2750
136,p1,7,consonants-av,none,1,1,3000,0,0,8,3,1,1,0,34027,<timeout>,1,36777,2748,<timeout>,1,36779,2750
136,p1,8,consonants-av,none,1,1,3000,0,1,3,3,1,1,0,37035,<timeout>,1,39785,2748,<timeout>,0,39787,2750
136,p1,9,consonants-av,none,1,1,3000,1,1,3,3,1,1,0,40042,<lshift>,1,40613,569,<timeout>,0,42792,2748
136,p1,10,consonants-av,none,1,1,3000,0,0,5,5,1,1,0,43048,<timeout>,1,45798,2748,<timeout>,1,45800,2750
136,p1,11,consonants-av,none,1,1,3000,1,0,5,4,1,1,0,46055,<lshift>,1,46661,604,<timeout>,1,48805,2748
136,p2,1,consonants-av,none,1,2,3000,0,0,5,7,1,1,0,57302,<timeout>,1,60052,2748,<timeout>,1,60054,2750
136,p2,2,consonants-av,none,1,2,3000,0,0,8,4,1,1,0,60311,<timeout>,1,63061,2748,<timeout>,1,63063,2750
136,p2,3,consonants-av,none,1,2,3000,0,0,1,4,1,1,0,63319,<timeout>,1,66069,2748,<timeout>,1,66071,2750
136,p2,4,consonants-av,none,1,2,3000,1,1,8,4,1,1,0,66325,<lshift>,1,67234,906,<timeout>,0,69075,2747
136,p2,5,consonants-av,none,1,2,3000,0,1,6,4,1,1,0,69331,<timeout>,1,72081,2748,<timeout>,0,72083,2750
136,p2,6,consonants-av,none,1,2,3000,0,0,5,8,1,1,0,72339,<timeout>,1,75089,2748,<timeout>,1,75091,2750
136,p2,7,consonants-av,none,1,2,3000,0,0,7,7,1,1,0,75346,<timeout>,1,78096,2748,<timeout>,1,78098,2750
136,p2,8,consonants-av,none,1,2,3000,1,0,5,4,1,1,0,78353,<lshift>,1,79923,1568,<timeout>,1,81103,2748
136,p2,9,consonants-av,none,1,2,3000,0,0,8,4,1,1,0,81359,<timeout>,1,84109,2748,<timeout>,1,84111,2750
136,p2,10,consonants-av,none,1,2,3000,0,1,4,4,1,1,0,84367,<timeout>,1,87117,2748,<timeout>,0,87119,2750
136,p2,11,consonants-av,none,1,2,3000,1,0,8,7,1,1,0,87374,<lshift>,1,88750,1374,<timeout>,1,90124,2748
136,p2,12,consonants-av,none,1,2,3000,1,1,4,4,1,1,0,90382,<lshift>,1,91230,847,<timeout>,0,93132,2749
136,p3,1,none,squares,1,1,3000,0,0,8,8,0,0,1,104885,<timeout>,1,107635,2748,<timeout>,1,107636,2749
136,p3,2,none,squares,1,1,3000,1,0,8,3,0,0,1,107891,<timeout>,0,110641,2748,<timeout>,1,110643,2750
136,p3,3,none,squares,1,1,3000,0,1,3,3,0,0,1,110899,<rshift>,1,111552,651,<timeout>,1,113649,2748
136,p3,4,none,squares,1,1,3000,1,0,3,7,0,0,1,113904,<timeout>,0,116654,2748,<timeout>,1,116656,2750
136,p3,5,none,squares,1,1,3000,0,0,2,3,0,0,1,116912,<rshift>,1,117471,546,<timeout>,0,119662,2737
136,p3,6,none,squares,1,1,3000,0,0,6,5,0,0,1,119928,<timeout>,1,122678,2749,<timeout>,1,122680,2751
136,p3,7,none,squares,1,1,3000,1,1,6,5,0,0,1,122936,<rshift>,0,123577,639,<timeout>,1,125686,2748
136,p3,8,none,squares,1,1,3000,1,1,6,5,0,0,1,125942,<rshift>,0,126505,561,<timeout>,1,128692,2748
136,p3,9,none,squares,1,1,3000,0,0,3,8,0,0,1,128948,<timeout>,1,131698,2748,<timeout>,1,131700,2750
136,p3,10,none,squares,1,1,3000,0,1,8,8,0,0,1,131955,<rshift>,1,132469,512,<timeout>,1,134705,2748
136,p3,11,none,squares,1,1,3000,0,0,7,7,0,0,1,134960,<timeout>,1,137710,2748,<timeout>,1,137712,2750
136,p4,1,consonants-av,squares,2,1,3000,0,0,5,1,1,1,1,145288,<timeout>,1,148038,2748,<timeout>,1,148040,2750
136,p4,2,consonants-av,squares,2,1,3000,0,1,2,1,1,1,1,148296,<rshift>,1,149411,1113,<timeout>,1,151046,2748
136,p4,3,consonants-av,squares,2,1,3000,0,0,4,6,1,1,1,151304,<timeout>,1,154054,2748,<timeout>,1,154056,2750
136,p4,4,consonants-av,squares,2,1,3000,0,0,7,3,1,1,1,154312,<timeout>,1,157062,2748,<timeout>,1,157064,2750
136,p4,5,consonants-av,squares,2,1,3000,1,1,7,3,1,1,1,157320,<lshift>,1,158118,796,<rshift>,1,158120,798
136,p4,6,consonants-av,squares,2,1,3000,0,0,6,8,1,1,1,160324,<timeout>,1,163074,2748,<timeout>,1,163075,2749
136,p4,7,consonants-av,squares,2,1,3000,0,0,5,5,1,1,1,163330,<timeout>,1,166080,2748,<timeout>,1,166082,2750
136,p4,8,consonants-av,squares,2,1,3000,1,1,5,5,1,1,1,166338,<lshift>,1,167024,684,<rshift>,1,167045,705
136,p4,9,consonants-av,squares,2,1,3000,1,0,5,4,1,1,1,169341,<lshift>,1,170519,1177,<timeout>,1,172091,2749
136,p4,10,consonants-av,squares,2,1,3000,1,0,5,7,1,1,1,172347,<lshift>,1,173820,1471,<timeout>,1,175097,2748
136,p4,11,consonants-av,squares,2,1,3000,0,1,1,7,1,1,1,175353,<rshift>,1,176865,1510,<timeout>,1,178103,2748
