subnum,block,trial,dim1,dim2,nDim,n,isi,d1,d2,d3,d4,dotext,doaudio,dospatial,timestart,resp1,corr1,time2,rta,resp2,corr2,time3,rtb
3ulvig1,p1,1,consonants-av,none,1,1,3000,0,0,2,1,1,1,0,8818,<timeout>,1,11568,2748,<timeout>,1,11570,2750
3ulvig1,p1,2,consonants-av,none,1,1,3000,0,1,1,1,1,1,0,11827,<timeout>,1,14577,2748,<timeout>,0,14579,2750
3ulvig1,p1,3,consonants-av,none,1,1,3000,0,1,5,1,1,1,0,14835,<timeout>,1,17585,2748,<timeout>,0,17587,2750
3ulvig1,p1,4,consonants-av,none,1,1,3000,1,1,5,1,1,1,0,17843,<lshift>,1,18585,740,<timeout>,0,20593,2748
3ulvig1,p1,5,consonants-av,none,1,1,3000,0,0,1,2,1,1,0,20849,<timeout>,1,23599,2748,<timeout>,1,23601,2750
3ulvig1,p1,6,consonants-av,none,1,1,3000,0,0,5,6,1,1,0,23857,<timeout>,1,26607,2748,<timeout>,1,26609,2750
3ulvig1,p1,7,consonants-av,none,1,1,3000,0,0,2,2,1,1,0,26865,<timeout>,1,29615,2748,<timeout>,1,29616,2749
3ulvig1,p1,8,consonants-av,none,1,1,3000,1,0,2,7,1,1,0,29871,<lshift>,1,30378,505,<timeout>,1,32621,2748
3ulvig1,p1,9,consonants-av,none,1,1,3000,0,0,5,5,1,1,0,32877,<timeout>,1,35627,2748,<timeout>,1,35628,2749
3ulvig1,p1,10,consonants-av,none,1,1,3000,1,1,5,5,1,1,0,35884,<lshift>,1,36496,610,<timeout>,0,38634,2748
3ulvig1,p1,11,consonants-av,none,1,1,3000,1,0,5,7,1,1,0,38891,<lshift>,1,39497,604,<timeout>,1,41641,2748
3ulvig1,p2,1,consonants-av,none,1,2,3000,0,0,3,5,1,1,0,47901,<timeout>,1,50651,2749,<timeout>,1,50653,2751
3ulvig1,p2,2,consonants-av,none,1,2,3000,0,0,5,6,1,1,0,50909,<timeout>,1,53659,2748,<timeout>,1,53661,2750
3ulvig1,p2,3,consonants-av,none,1,2,3000,0,0,1,6,1,1,0,53916,<timeout>,1,56666,2748,<timeout>,1,56668,2750
3ulvig1,p2,4,consonants-av,none,1,2,3000,0,1,2,6,1,1,0,56924,<timeout>,1,59674,2748,<timeout>,0,59676,2750
3ulvig1,p2,5,consonants-av,none,1,2,3000,0,0,3,2,1,1,0,59932,<timeout>,1,62682,2748,<timeout>,1,62684,2750
3ulvig1,p2,6,consonants-av,none,1,2,3000,0,0,4,8,1,1,0,62939,<timeout>,1,65689,2748,<timeout>,1,65691,2750
3ulvig1,p2,7,consonants-av,none,1,2,3000,1,1,3,2,1,1,0,65946,<lshift>,1,67729,1781,<timeout>,0,68696,2748
3ulvig1,p2,8,consonants-av,none,1,2,3000,0,1,3,8,1,1,0,68952,<lshift>,0,70533,1579,<timeout>,0,71702,2748
3ulvig1,p2,9,consonants-av,none,1,2,3000,1,0,3,3,1,1,0,71958,<lshift>,1,72622,662,<timeout>,1,74708,2748
3ulvig1,p2,10,consonants-av,none,1,2,3000,0,0,5,3,1,1,0,74964,<timeout>,1,77714,2748,<timeout>,1,77716,2750
