subnum,block,trial,dim1,dim2,nDim,n,isi,d1,d2,d3,d4,dotext,doaudio,dospatial,timestart,resp1,corr1,time2,rta,resp2,corr2,time3,rtb
3ul3nack-final,p1,1,consonants-av,none,1,1,3000,0,0,2,7,1,1,0,9760,<timeout>,1,12510,2749,<timeout>,1,12512,2751
3ul3nack-final,p1,2,consonants-av,none,1,1,3000,1,1,2,7,1,1,0,12768,<lshift>,1,13579,809,<timeout>,0,15518,2748
3ul3nack-final,p1,3,consonants-av,none,1,1,3000,0,0,1,8,1,1,0,15774,<timeout>,1,18524,2747,<timeout>,1,18526,2749
3ul3nack-final,p1,4,consonants-av,none,1,1,3000,0,0,6,7,1,1,0,18783,<timeout>,1,21533,2748,<timeout>,1,21535,2750
3ul3nack-final,p1,5,consonants-av,none,1,1,3000,1,0,6,6,1,1,0,21790,<lshift>,1,22438,646,<timeout>,1,24540,2748
3ul3nack-final,p1,6,consonants-av,none,1,1,3000,0,0,7,3,1,1,0,24796,<timeout>,1,27546,2748,<timeout>,1,27548,2750
3ul3nack-final,p1,7,consonants-av,none,1,1,3000,0,1,5,3,1,1,0,27803,<timeout>,1,30553,2748,<timeout>,0,30555,2750
3ul3nack-final,p1,8,consonants-av,none,1,1,3000,0,1,3,3,1,1,0,30809,<timeout>,1,33559,2749,<timeout>,0,33561,2751
3ul3nack-final,p1,9,consonants-av,none,1,1,3000,0,0,5,4,1,1,0,33817,<timeout>,1,36567,2748,<timeout>,1,36569,2750
3ul3nack-final,p1,10,consonants-av,none,1,1,3000,1,0,5,3,1,1,0,36825,<lshift>,1,37245,418,<timeout>,1,39575,2748
3ul3nack-final,p1,11,consonants-av,none,1,1,3000,1,1,5,3,1,1,0,39831,<lshift>,1,40333,500,<timeout>,0,42581,2748
3ul3nack-final,p2,1,consonants-av,none,1,2,3000,0,0,2,3,1,1,0,51520,<timeout>,1,54270,2748,<timeout>,1,54272,2750
3ul3nack-final,p2,2,consonants-av,none,1,2,3000,0,0,8,8,1,1,0,54528,<timeout>,1,57278,2748,<timeout>,1,57280,2750
3ul3nack-final,p2,3,consonants-av,none,1,2,3000,0,0,7,7,1,1,0,57536,<lshift>,0,59755,2217,<timeout>,1,60286,2748
3ul3nack-final,p2,4,consonants-av,none,1,2,3000,0,0,4,1,1,1,0,60542,<timeout>,1,63292,2748,<timeout>,1,63294,2750
3ul3nack-final,p2,5,consonants-av,none,1,2,3000,1,1,7,7,1,1,0,63549,<lshift>,1,64589,1038,<timeout>,0,66299,2748
3ul3nack-final,p2,6,consonants-av,none,1,2,3000,0,1,3,1,1,1,0,66555,<timeout>,1,69305,2748,<timeout>,0,69306,2749
3ul3nack-final,p2,7,consonants-av,none,1,2,3000,0,0,6,4,1,1,0,69562,<timeout>,1,72312,2748,<timeout>,1,72314,2750
3ul3nack-final,p2,8,consonants-av,none,1,2,3000,0,0,6,6,1,1,0,72569,<timeout>,1,75319,2748,<timeout>,1,75321,2750
3ul3nack-final,p2,9,consonants-av,none,1,2,3000,1,0,6,5,1,1,0,75576,<lshift>,1,76054,476,<timeout>,1,78326,2748
3ul3nack-final,p2,10,consonants-av,none,1,2,3000,1,1,6,6,1,1,0,78583,<lshift>,1,79034,449,<timeout>,0,81333,2748
3ul3nack-final,p2,11,consonants-av,none,1,2,3000,0,1,8,5,1,1,0,81589,<timeout>,1,84339,2748,<timeout>,0,84341,2750
3ul3nack-final,p2,12,consonants-av,none,1,2,3000,1,0,6,8,1,1,0,84596,<lshift>,1,85090,492,<timeout>,1,87346,2748
3ul3nack-final,p3,1,none,squares,1,1,3000,0,0,5,7,0,0,1,104234,<timeout>,1,106984,2748,<timeout>,1,106986,2750
3ul3nack-final,p3,2,none,squares,1,1,3000,0,1,3,7,0,0,1,107241,<timeout>,1,109991,2749,<timeout>,0,109993,2751
3ul3nack-final,p3,3,none,squares,1,1,3000,0,1,5,7,0,0,1,110251,<rshift>,1,110660,408,<timeout>,1,113001,2749
3ul3nack-final,p3,4,none,squares,1,1,3000,0,0,8,5,0,0,1,113257,<timeout>,1,116007,2748,<timeout>,1,116009,2750
3ul3nack-final,p3,5,none,squares,1,1,3000,1,1,8,5,0,0,1,116264,<rshift>,0,116627,361,<timeout>,1,119014,2748
3ul3nack-final,p3,6,none,squares,1,1,3000,1,0,8,8,0,0,1,119269,<timeout>,0,122019,2748,<timeout>,1,122021,2750
3ul3nack-final,p3,7,none,squares,1,1,3000,0,0,7,1,0,0,1,122277,<timeout>,1,125027,2748,<timeout>,1,125029,2750
3ul3nack-final,p3,8,none,squares,1,1,3000,0,0,6,3,0,0,1,125285,<timeout>,1,128035,2748,<timeout>,1,128037,2750
3ul3nack-final,p3,9,none,squares,1,1,3000,1,0,6,7,0,0,1,128292,<timeout>,0,131042,2748,<timeout>,1,131044,2750
3ul3nack-final,p3,10,none,squares,1,1,3000,1,1,6,7,0,0,1,131300,<rshift>,0,131719,417,<timeout>,1,134050,2748
3ul3nack-final,p3,11,none,squares,1,1,3000,0,0,7,5,0,0,1,134306,<timeout>,1,137056,2748,<timeout>,1,137058,2750
3ul3nack-final,p4,1,consonants-av,squares,2,1,3000,0,0,8,8,1,1,1,143913,<timeout>,1,146663,2748,<timeout>,1,146664,2749
3ul3nack-final,p4,2,consonants-av,squares,2,1,3000,0,0,1,3,1,1,1,146920,<timeout>,1,149670,2748,<timeout>,1,149671,2749
3ul3nack-final,p4,3,consonants-av,squares,2,1,3000,0,1,6,3,1,1,1,149927,<rshift>,1,150892,963,<timeout>,1,152677,2748
3ul3nack-final,p4,4,consonants-av,squares,2,1,3000,0,0,2,8,1,1,1,152932,<timeout>,1,155682,2748,<timeout>,1,155683,2749
3ul3nack-final,p4,5,consonants-av,squares,2,1,3000,1,0,2,1,1,1,1,155938,<lshift>,1,156581,641,<timeout>,1,158688,2748
3ul3nack-final,p4,6,consonants-av,squares,2,1,3000,0,0,7,8,1,1,1,158943,<timeout>,1,161694,2749,<timeout>,1,161695,2750
3ul3nack-final,p4,7,consonants-av,squares,2,1,3000,0,1,3,8,1,1,1,161951,<rshift>,1,162768,815,<timeout>,1,164701,2748
3ul3nack-final,p4,8,consonants-av,squares,2,1,3000,1,1,3,8,1,1,1,164957,<lshift>,1,165523,564,<rshift>,1,165543,584
3ul3nack-final,p4,9,consonants-av,squares,2,1,3000,1,0,3,3,1,1,1,167962,<lshift>,1,168721,757,<timeout>,1,170712,2748
3ul3nack-final,p4,10,consonants-av,squares,2,1,3000,0,0,6,6,1,1,1,170968,<timeout>,1,173718,2748,<timeout>,1,173719,2749
3ul3nack-final,p4,11,consonants-av,squares,2,1,3000,1,1,6,6,1,1,1,173974,<rshift>,1,175064,1088,<lshift>,1,175066,1090
3ul3nack-final,t1,1,consonants-av,squares,2,1,3000,0,0,4,8,1,1,1,183928,<timeout>,1,186678,2748,<timeout>,1,186679,2749
3ul3nack-final,t1,2,consonants-av,squares,2,1,3000,1,0,4,4,1,1,1,186935,<lshift>,1,187659,722,<timeout>,1,189685,2748
3ul3nack-final,t1,3,consonants-av,squares,2,1,3000,1,0,4,8,1,1,1,189942,<lshift>,1,190726,782,<timeout>,1,192693,2749
3ul3nack-final,t1,4,consonants-av,squares,2,1,3000,0,1,3,8,1,1,1,192947,<rshift>,1,193759,810,<timeout>,1,195697,2748
3ul3nack-final,t1,5,consonants-av,squares,2,1,3000,0,0,2,6,1,1,1,195953,<timeout>,1,198703,2748,<timeout>,1,198704,2749
3ul3nack-final,t1,6,consonants-av,squares,2,1,3000,0,0,3,4,1,1,1,198961,<timeout>,1,201711,2748,<timeout>,1,201712,2749
3ul3nack-final,t1,7,consonants-av,squares,2,1,3000,0,0,1,3,1,1,1,201968,<timeout>,1,204718,2748,<timeout>,1,204719,2749
3ul3nack-final,t1,8,consonants-av,squares,2,1,3000,0,0,2,2,1,1,1,204975,<timeout>,1,207725,2748,<timeout>,1,207727,2750
3ul3nack-final,t1,9,consonants-av,squares,2,1,3000,0,0,6,8,1,1,1,207988,<timeout>,1,210738,2748,<timeout>,1,210739,2749
3ul3nack-final,t1,10,consonants-av,squares,2,1,3000,0,0,5,6,1,1,1,210995,<timeout>,1,213745,2748,<timeout>,1,213746,2749
3ul3nack-final,t1,11,consonants-av,squares,2,1,3000,1,1,5,6,1,1,1,214002,<rshift>,1,214620,616,<lshift>,1,214622,618
3ul3nack-final,t1,12,consonants-av,squares,2,1,3000,1,1,5,6,1,1,1,217005,<rshift>,1,217547,540,<lshift>,1,217551,544
3ul3nack-final,t1,13,consonants-av,squares,2,1,3000,0,1,1,6,1,1,1,220008,<rshift>,1,221327,1317,<timeout>,1,222758,2748
