subnum,block,trial,dim1,dim2,nDim,n,isi,d1,d2,d3,d4,dotext,doaudio,dospatial,timestart,resp1,corr1,time2,rta,resp2,corr2,time3,rtb
20,p1,1,consonants-av,none,1,1,3000,0,0,8,7,1,1,0,7828,<timeout>,1,10580,2744,<timeout>,1,10586,2750
20,p1,2,consonants-av,none,1,1,3000,0,0,5,3,1,1,0,10850,<timeout>,1,13603,2748,<timeout>,1,13610,2755
20,p1,3,consonants-av,none,1,1,3000,0,0,3,7,1,1,0,13888,<timeout>,1,16641,2746,<timeout>,1,16648,2753
20,p1,4,consonants-av,none,1,1,3000,1,0,3,5,1,1,0,16917,<lshift>,1,17719,798,<timeout>,1,19670,2749
20,p1,5,consonants-av,none,1,1,3000,1,1,3,5,1,1,0,19948,<lshift>,1,20703,749,<timeout>,0,22701,2747
20,p1,6,consonants-av,none,1,1,3000,1,0,3,1,1,1,0,22976,<lshift>,1,23805,818,<timeout>,1,25728,2741
20,p1,7,consonants-av,none,1,1,3000,1,1,3,1,1,1,0,25999,<lshift>,1,26631,626,<timeout>,0,28752,2747
20,p1,8,consonants-av,none,1,1,3000,0,1,4,1,1,1,0,29031,<timeout>,1,31783,2747,<timeout>,0,31788,2752
20,p1,9,consonants-av,none,1,1,3000,0,1,2,1,1,1,0,32062,<timeout>,1,34815,2745,<timeout>,0,34822,2752
20,p1,10,consonants-av,none,1,1,3000,0,0,1,6,1,1,0,35096,<timeout>,1,37849,2745,<timeout>,1,37854,2750
20,p1,11,consonants-av,none,1,1,3000,0,0,8,5,1,1,0,38122,<timeout>,1,40874,2745,<timeout>,1,40880,2751
20,p2,1,consonants-av,none,1,2,3000,0,0,1,4,1,1,0,48427,<timeout>,1,51180,2747,<timeout>,1,51187,2754
20,p2,2,consonants-av,none,1,2,3000,0,0,7,3,1,1,0,51463,<timeout>,1,54216,2744,<timeout>,1,54226,2754
20,p2,3,consonants-av,none,1,2,3000,1,0,1,6,1,1,0,54500,<lshift>,1,55350,847,<timeout>,1,57252,2749
20,p2,4,consonants-av,none,1,2,3000,1,1,7,3,1,1,0,57529,<lshift>,1,58351,812,<timeout>,0,60281,2742
20,p2,5,consonants-av,none,1,2,3000,0,1,3,6,1,1,0,60550,<timeout>,1,63304,2746,<timeout>,0,63308,2750
20,p2,6,consonants-av,none,1,2,3000,1,1,7,3,1,1,0,63576,<lshift>,1,64439,856,<timeout>,0,66329,2746
20,p2,7,consonants-av,none,1,2,3000,1,0,3,4,1,1,0,66595,<lshift>,1,67446,848,<timeout>,1,69347,2749
20,p2,8,consonants-av,none,1,2,3000,0,0,3,8,1,1,0,69620,<timeout>,1,72373,2743,<timeout>,1,72379,2749
20,p2,9,consonants-av,none,1,2,3000,0,1,4,4,1,1,0,72652,<timeout>,1,75404,2740,<timeout>,0,75411,2747
20,p2,10,consonants-av,none,1,2,3000,0,0,1,4,1,1,0,75683,<timeout>,1,78436,2747,<timeout>,1,78441,2752
20,p2,11,consonants-av,none,1,2,3000,0,0,6,3,1,1,0,78718,<timeout>,1,81472,2742,<timeout>,1,81480,2750
20,p2,12,consonants-av,none,1,2,3000,0,0,3,7,1,1,0,81751,<timeout>,1,84504,2747,<timeout>,1,84512,2755
20,p3,1,none,squares,1,1,3000,0,0,7,5,0,0,1,92132,<timeout>,1,94884,2742,<timeout>,1,94892,2750
20,p3,2,none,squares,1,1,3000,1,1,7,5,0,0,1,95166,<timeout>,0,97919,2746,<timeout>,0,97928,2755
20,p3,3,none,squares,1,1,3000,0,0,4,6,0,0,1,98200,<timeout>,1,100953,2749,<timeout>,1,100958,2754
20,p3,4,none,squares,1,1,3000,1,1,4,6,0,0,1,101231,<rshift>,0,101630,393,<timeout>,1,103983,2746
20,p3,5,none,squares,1,1,3000,0,0,3,2,0,0,1,104259,<timeout>,1,107011,2746,<timeout>,1,107017,2752
20,p3,6,none,squares,1,1,3000,0,1,1,2,0,0,1,107292,<rshift>,1,108663,1365,<timeout>,1,110045,2747
20,p3,7,none,squares,1,1,3000,0,0,5,6,0,0,1,110318,<timeout>,1,113071,2743,<timeout>,1,113081,2753
20,p3,8,none,squares,1,1,3000,0,1,7,6,0,0,1,113351,<rshift>,1,114287,930,<timeout>,1,116103,2746
20,p3,9,none,squares,1,1,3000,1,0,7,8,0,0,1,116377,<timeout>,0,119130,2744,<timeout>,1,119137,2751
20,p3,10,none,squares,1,1,3000,1,0,7,2,0,0,1,119408,<timeout>,0,122161,2746,<timeout>,1,122171,2756
20,p3,11,none,squares,1,1,3000,0,0,6,8,0,0,1,122447,<timeout>,1,125199,2744,<timeout>,1,125203,2748
20,p4,1,consonants-av,squares,2,1,3000,0,0,5,3,1,1,1,139347,<timeout>,1,142101,2747,<timeout>,1,142106,2752
20,p4,2,consonants-av,squares,2,1,3000,0,1,1,3,1,1,1,142377,<rshift>,1,143326,941,<timeout>,1,145129,2744
20,p4,3,consonants-av,squares,2,1,3000,1,0,1,5,1,1,1,145398,<lshift>,1,146613,1210,<timeout>,1,148151,2748
20,p4,4,consonants-av,squares,2,1,3000,0,0,7,7,1,1,1,148424,<timeout>,1,151178,2744,<timeout>,1,151182,2748
20,p4,5,consonants-av,squares,2,1,3000,0,0,6,2,1,1,1,151451,<timeout>,1,154203,2741,<timeout>,1,154208,2746
20,p4,6,consonants-av,squares,2,1,3000,1,1,6,2,1,1,1,154479,<lshift>,1,155726,1235,<rshift>,1,155766,1275
20,p4,7,consonants-av,squares,2,1,3000,0,0,1,8,1,1,1,157501,<timeout>,1,160254,2746,<timeout>,1,160258,2750
20,p4,8,consonants-av,squares,2,1,3000,0,1,6,8,1,1,1,160526,<rshift>,1,161743,1207,<timeout>,1,163280,2744
20,p4,9,consonants-av,squares,2,1,3000,1,0,6,5,1,1,1,163564,<lshift>,1,164423,851,<timeout>,1,166317,2745
