subnum,block,trial,dim1,dim2,nDim,n,isi,d1,d2,d3,d4,dotext,doaudio,dospatial,timestart,resp1,corr1,time2,rta,resp2,corr2,time3,rtb
18,p1,1,consonants-av,none,1,1,3000,0,0,3,4,1,1,0,81177,<timeout>,1,83929,2745,<timeout>,1,83936,2752
18,p1,2,consonants-av,none,1,1,3000,0,0,4,8,1,1,0,84209,<timeout>,1,86962,2743,<timeout>,1,86972,2753
18,p1,3,consonants-av,none,1,1,3000,0,1,3,8,1,1,0,87246,<timeout>,1,89999,2749,<timeout>,0,90006,2756
18,p1,4,consonants-av,none,1,1,3000,1,0,3,1,1,1,0,90281,<lshift>,1,91262,972,<timeout>,1,93034,2744
18,p1,5,consonants-av,none,1,1,3000,0,0,1,7,1,1,0,93309,<timeout>,1,96061,2745,<timeout>,1,96067,2751
18,p1,6,consonants-av,none,1,1,3000,0,0,8,3,1,1,0,96341,<timeout>,1,99094,2746,<timeout>,1,99102,2754
18,p1,7,consonants-av,none,1,1,3000,0,0,2,4,1,1,0,99379,<timeout>,1,102132,2746,<timeout>,1,102139,2753
18,p1,8,consonants-av,none,1,1,3000,1,0,2,1,1,1,0,102413,<lshift>,1,103265,845,<timeout>,1,105167,2747
18,p1,9,consonants-av,none,1,1,3000,1,1,2,1,1,1,0,105435,<lshift>,1,106370,924,<timeout>,0,108187,2741
18,p1,10,consonants-av,none,1,1,3000,0,1,8,1,1,1,0,108459,<timeout>,1,111212,2746,<timeout>,0,111219,2753
18,p1,11,consonants-av,none,1,1,3000,1,1,8,1,1,1,0,111495,<lshift>,1,112426,916,<timeout>,0,114249,2739
18,p2,1,consonants-av,none,1,2,3000,0,0,7,7,1,1,0,143189,<timeout>,1,145942,2746,<timeout>,1,145948,2752
18,p2,2,consonants-av,none,1,2,3000,0,0,4,4,1,1,0,146223,<timeout>,1,148975,2739,<timeout>,1,148982,2746
18,p2,3,consonants-av,none,1,2,3000,0,1,1,7,1,1,0,149258,<timeout>,1,152011,2744,<timeout>,0,152019,2752
18,p2,4,consonants-av,none,1,2,3000,1,1,4,4,1,1,0,152293,<lshift>,1,153283,981,<timeout>,0,155047,2745
18,p2,5,consonants-av,none,1,2,3000,1,1,1,7,1,1,0,155321,<lshift>,1,156274,944,<timeout>,0,158074,2744
18,p2,6,consonants-av,none,1,2,3000,0,0,3,5,1,1,0,158348,<timeout>,1,161101,2746,<timeout>,1,161108,2753
18,p2,7,consonants-av,none,1,2,3000,1,0,1,1,1,1,0,161381,<lshift>,1,162025,636,<timeout>,1,164133,2744
18,p2,8,consonants-av,none,1,2,3000,0,0,6,7,1,1,0,164408,<timeout>,1,167161,2746,<timeout>,1,167168,2753
18,p2,9,consonants-av,none,1,2,3000,1,0,1,3,1,1,0,167444,<lshift>,1,167926,475,<timeout>,1,170196,2745
18,p2,10,consonants-av,none,1,2,3000,0,1,7,7,1,1,0,170471,<timeout>,1,173223,2743,<timeout>,0,173232,2752
18,p2,11,consonants-av,none,1,2,3000,0,0,3,1,1,1,0,173513,<timeout>,1,176267,2748,<timeout>,1,176275,2756
18,p2,12,consonants-av,none,1,2,3000,0,0,6,6,1,1,0,176556,<timeout>,1,179308,2745,<timeout>,1,179315,2752
18,p3,1,none,squares,1,1,3000,0,0,7,7,0,0,1,194857,<timeout>,1,197610,2745,<timeout>,1,197618,2753
18,p3,2,none,squares,1,1,3000,0,1,2,7,0,0,1,197897,<rshift>,1,198571,667,<timeout>,1,200650,2746
18,p3,3,none,squares,1,1,3000,1,0,2,5,0,0,1,200924,<timeout>,0,203677,2747,<timeout>,1,203683,2753
18,p3,4,none,squares,1,1,3000,1,0,2,4,0,0,1,203959,<timeout>,0,206712,2740,<timeout>,1,206719,2747
18,p3,5,none,squares,1,1,3000,0,0,1,3,0,0,1,206991,<timeout>,1,209744,2747,<timeout>,1,209751,2754
18,p3,6,none,squares,1,1,3000,1,1,1,3,0,0,1,210026,<rshift>,0,210780,747,<timeout>,1,212779,2746
18,p3,7,none,squares,1,1,3000,0,1,2,3,0,0,1,213044,<rshift>,1,213711,664,<timeout>,1,215796,2749
18,p3,8,none,squares,1,1,3000,0,0,1,6,0,0,1,216069,<timeout>,1,218822,2745,<timeout>,1,218829,2752
18,p3,9,none,squares,1,1,3000,0,0,4,7,0,0,1,219103,<timeout>,1,221855,2746,<timeout>,1,221862,2753
18,p3,10,none,squares,1,1,3000,0,0,5,8,0,0,1,222139,<timeout>,1,224891,2745,<timeout>,1,224899,2753
