sub,trial,targ,toofast,responded,corr,mult,time,rt
1DST2,0,0,0,0,1,0,37361,-1
1DST2,1,0,0,0,1,0,39322,-1
1DST2,2,0,0,0,1,0,41281,-1
1DST2,3,0,0,0,1,0,43241,-1
1DST2,4,1,0,1,1,0,45200,335
1DST2,5,0,0,0,1,0,47158,-1
1DST2,6,0,0,1,0,0,49120,256
1DST2,7,0,0,0,1,0,51077,-1
1DST2,8,0,0,0,1,0,53035,-1
1DST2,9,0,0,0,1,0,54997,-1
1DST2,10,0,0,0,1,0,56959,-1
1DST2,11,0,0,0,1,0,58919,-1
1DST2,12,0,0,0,1,0,60878,-1
1DST2,13,0,0,0,1,0,62840,-1
1DST2,14,1,0,1,1,0,64799,517
1DST2,15,0,0,0,1,0,66756,-1
1DST2,16,0,0,0,1,0,68717,-1
1DST2,17,0,0,0,1,0,70679,-1
1DST2,18,0,0,0,1,0,72641,-1
1DST2,19,0,0,0,1,0,74602,-1
1DST2,20,0,0,0,1,0,76567,-1
1DST2,21,0,0,0,1,0,78529,-1
1DST2,22,1,0,1,1,0,80487,302
1DST2,23,0,0,0,1,0,82446,-1
1DST2,24,0,0,0,1,0,84407,-1
1DST2,25,1,0,1,1,0,86367,420
1DST2,26,0,0,0,1,0,88323,-1
1DST2,27,0,0,0,1,0,90283,-1
1DST2,28,0,0,0,1,0,92245,-1
1DST2,29,0,0,0,1,0,94204,-1
1DST2,30,0,0,0,1,0,96165,-1
1DST2,31,0,0,0,1,0,98123,-1
1DST2,32,0,0,0,1,0,100085,-1
1DST2,33,0,0,0,1,0,102047,-1
1DST2,34,0,0,0,1,0,104007,-1
1DST2,35,0,0,0,1,0,105967,-1
1DST2,36,0,0,0,1,0,107929,-1
1DST2,37,0,0,0,1,0,109887,-1
1DST2,38,0,0,0,1,0,111847,-1
1DST2,39,1,0,1,1,0,113810,399
1DST2,40,1,0,1,1,0,115769,546
1DST2,41,1,0,1,1,0,117728,381
1DST2,42,1,0,1,1,0,119687,344
1DST2,43,0,0,0,1,0,121644,-1
1DST2,44,1,0,1,1,0,123606,461
1DST2,45,0,0,0,1,0,125563,-1
1DST2,46,0,0,0,1,0,127522,-1
1DST2,47,0,0,0,1,0,129482,-1
1DST2,48,0,0,0,1,0,131445,-1
1DST2,49,0,0,0,1,0,133402,-1
1DST2,50,0,0,0,1,0,135363,-1
1DST2,51,0,0,0,1,0,137324,-1
1DST2,52,0,0,0,1,0,139283,-1
1DST2,53,0,0,0,1,0,141244,-1
1DST2,54,0,0,0,1,0,143205,-1
1DST2,55,1,0,1,1,0,145165,490
1DST2,56,0,0,0,1,0,147123,-1
1DST2,57,0,0,0,1,0,149083,-1
1DST2,58,0,0,0,1,0,151044,-1
1DST2,59,0,0,0,1,0,153005,-1
1DST2,60,0,0,0,1,0,154965,-1
1DST2,61,0,0,0,1,0,156927,-1
1DST2,62,0,0,0,1,0,158886,-1
1DST2,63,0,0,0,1,0,160847,-1
1DST2,64,1,0,1,1,0,162807,284
1DST2,65,0,0,0,1,0,164766,-1
1DST2,66,0,0,0,1,0,166726,-1
1DST2,67,0,0,0,1,0,168686,-1
1DST2,68,0,0,0,1,0,170647,-1
1DST2,69,0,0,0,1,0,172607,-1
1DST2,70,1,0,1,1,0,174568,441
1DST2,71,1,0,1,1,0,176525,502
1DST2,72,0,0,0,1,0,178483,-1
1DST2,73,1,0,1,1,0,180443,454
1DST2,74,0,0,0,1,0,182401,-1
1DST2,75,0,0,0,1,0,184361,-1
1DST2,76,0,0,0,1,0,186321,-1
1DST2,77,0,0,0,1,0,188280,-1
1DST2,78,1,0,1,1,0,190241,434
1DST2,79,1,0,1,1,0,192199,489
1DST2,80,0,0,0,1,0,194156,-1
1DST2,81,0,0,0,1,0,196117,-1
1DST2,82,1,0,1,1,0,198078,470
1DST2,83,0,0,0,1,0,200035,-1
1DST2,84,1,0,1,1,0,201997,523
1DST2,85,0,0,0,1,0,203954,-1
1DST2,86,1,0,1,1,0,205914,436
1DST2,87,0,0,0,1,0,207871,-1
1DST2,88,0,0,0,1,0,209832,-1
1DST2,89,0,0,0,1,0,211793,-1
1DST2,90,1,0,1,1,0,213754,305
1DST2,91,1,0,1,1,0,215711,428
1DST2,92,0,0,0,1,0,217670,-1
1DST2,93,0,0,0,1,0,219630,-1
1DST2,94,0,0,0,1,0,221589,-1
1DST2,95,1,0,1,1,0,223550,330
1DST2,96,0,0,0,1,0,225508,-1
1DST2,97,0,0,0,1,0,227468,-1
1DST2,98,0,0,0,1,0,229428,-1
1DST2,99,0,0,0,1,0,231388,-1
1DST2,100,0,0,0,1,0,233347,-1
1DST2,101,0,0,0,1,0,235307,-1
1DST2,102,1,0,1,1,0,237270,301
1DST2,103,0,0,0,1,0,239227,-1
1DST2,104,0,0,0,1,0,241188,-1
1DST2,105,0,0,0,1,0,243149,-1
1DST2,106,0,0,0,1,0,245107,-1
1DST2,107,0,0,0,1,0,247068,-1
1DST2,108,0,0,0,1,0,249026,-1
1DST2,109,0,0,0,1,0,250987,-1
1DST2,110,0,0,0,1,0,252948,-1
1DST2,111,0,0,0,1,0,254908,-1
1DST2,112,0,0,0,1,0,256867,-1
1DST2,113,1,0,1,1,0,258828,505
1DST2,114,0,0,0,1,0,260785,-1
1DST2,115,0,0,0,1,0,262745,-1
1DST2,116,1,0,1,1,0,264708,439
1DST2,117,0,0,0,1,0,266664,-1
1DST2,118,0,0,0,1,0,268623,-1
1DST2,119,0,0,0,1,0,270583,-1
1DST2,120,0,0,0,1,0,272542,-1
1DST2,121,0,0,0,1,0,274503,-1
1DST2,122,0,0,0,1,0,276463,-1
1DST2,123,0,0,0,1,0,278421,-1
