sub,trial,targ,toofast,responded,corr,mult,time,rt
1-lg-t2,0,0,0,0,1,0,45795,-1
1-lg-t2,1,0,0,0,1,0,47747,-1
1-lg-t2,2,0,0,0,1,0,49700,-1
1-lg-t2,3,0,0,0,1,0,51652,-1
1-lg-t2,4,0,0,0,1,0,53604,-1
1-lg-t2,5,1,0,1,1,0,55556,354
1-lg-t2,6,0,0,0,1,0,57507,-1
1-lg-t2,7,1,0,1,1,0,59460,392
1-lg-t2,8,0,0,0,1,0,61411,-1
1-lg-t2,9,0,0,0,1,0,63362,-1
1-lg-t2,10,0,0,0,1,0,65314,-1
1-lg-t2,11,0,0,0,1,0,67266,-1
1-lg-t2,12,1,0,1,1,0,69219,407
1-lg-t2,13,0,0,0,1,0,71170,-1
1-lg-t2,14,0,0,0,1,0,73121,-1
1-lg-t2,15,0,0,0,1,0,75072,-1
1-lg-t2,16,1,0,1,1,0,77025,353
1-lg-t2,17,0,0,0,1,0,78978,-1
1-lg-t2,18,0,0,0,1,0,80929,-1
1-lg-t2,19,0,0,0,1,0,82880,-1
1-lg-t2,20,0,0,0,1,0,84832,-1
1-lg-t2,21,0,0,0,1,0,86784,-1
1-lg-t2,22,0,0,0,1,0,88738,-1
1-lg-t2,23,0,0,0,1,0,90690,-1
1-lg-t2,24,0,0,0,1,0,92642,-1
1-lg-t2,25,0,0,0,1,0,94594,-1
1-lg-t2,26,0,0,0,1,0,96547,-1
1-lg-t2,27,0,0,0,1,0,98499,-1
1-lg-t2,28,0,0,0,1,0,100450,-1
1-lg-t2,29,0,0,0,1,0,102403,-1
1-lg-t2,30,0,0,0,1,0,104355,-1
1-lg-t2,31,0,0,0,1,0,106306,-1
1-lg-t2,32,0,0,0,1,0,108257,-1
1-lg-t2,33,1,0,1,1,0,110213,411
1-lg-t2,34,0,0,0,1,0,112164,-1
1-lg-t2,35,1,0,1,1,0,114117,473
1-lg-t2,36,0,0,0,1,0,116068,-1
1-lg-t2,37,1,0,1,1,0,118018,415
1-lg-t2,38,0,0,0,1,0,119969,-1
1-lg-t2,39,0,0,0,1,0,121921,-1
1-lg-t2,40,0,0,0,1,0,123873,-1
1-lg-t2,41,0,0,0,1,0,125824,-1
1-lg-t2,42,0,0,0,1,0,127777,-1
1-lg-t2,43,0,0,0,1,0,129729,-1
1-lg-t2,44,1,0,1,1,0,131681,388
1-lg-t2,45,0,0,0,1,0,133633,-1
1-lg-t2,46,0,0,0,1,0,135584,-1
1-lg-t2,47,0,0,0,1,0,137537,-1
1-lg-t2,48,1,0,1,1,0,139491,402
1-lg-t2,49,0,0,0,1,0,141442,-1
1-lg-t2,50,1,0,1,1,0,143394,420
1-lg-t2,51,0,0,0,1,0,145345,-1
1-lg-t2,52,1,0,1,1,0,147297,355
1-lg-t2,53,0,0,0,1,0,149248,-1
1-lg-t2,54,0,0,0,1,0,151201,-1
1-lg-t2,55,0,0,0,1,0,153153,-1
1-lg-t2,56,1,0,1,1,0,155104,376
1-lg-t2,57,1,0,1,1,0,157055,447
1-lg-t2,58,0,0,0,1,0,159006,-1
1-lg-t2,59,0,0,0,1,0,160958,-1
1-lg-t2,60,0,0,0,1,0,162909,-1
1-lg-t2,61,0,0,0,1,0,164861,-1
1-lg-t2,62,1,0,1,1,0,166812,394
1-lg-t2,63,0,0,0,1,0,168763,-1
1-lg-t2,64,1,0,1,1,0,170716,440
1-lg-t2,65,1,0,1,1,0,172666,496
1-lg-t2,66,0,0,0,1,0,174617,-1
1-lg-t2,67,0,0,0,1,0,176570,-1
1-lg-t2,68,0,0,0,1,0,178522,-1
1-lg-t2,69,0,0,0,1,0,180474,-1
1-lg-t2,70,0,0,0,1,0,182427,-1
1-lg-t2,71,0,0,0,1,0,184380,-1
1-lg-t2,72,0,0,0,1,0,186332,-1
1-lg-t2,73,0,0,0,1,0,188284,-1
1-lg-t2,74,0,0,0,1,0,190236,-1
1-lg-t2,75,0,0,0,1,0,192187,-1
1-lg-t2,76,0,0,0,1,0,194139,-1
1-lg-t2,77,0,0,0,1,0,196092,-1
1-lg-t2,78,0,0,0,1,0,198043,-1
1-lg-t2,79,0,0,0,1,0,199997,-1
1-lg-t2,80,0,0,0,1,0,201949,-1
1-lg-t2,81,0,0,0,1,0,203901,-1
1-lg-t2,82,1,0,1,1,0,205852,413
1-lg-t2,83,0,0,0,1,0,207803,-1
1-lg-t2,84,0,0,0,1,0,209755,-1
1-lg-t2,85,0,0,0,1,0,211707,-1
1-lg-t2,86,0,0,0,1,0,213659,-1
1-lg-t2,87,1,0,1,1,0,215612,476
1-lg-t2,88,0,0,0,1,0,217563,-1
