sub,trial,targ,toofast,responded,corr,mult,time,rt
2AHT2,0,0,0,0,1,0,85445,-1
2AHT2,1,1,0,1,1,0,87414,427
2AHT2,2,0,0,0,1,0,89375,-1
2AHT2,3,1,0,1,1,0,91341,273
2AHT2,4,1,0,1,1,0,93303,463
2AHT2,5,0,0,0,1,0,95264,-1
2AHT2,6,1,0,1,1,0,97230,364
2AHT2,7,0,0,0,1,0,99190,-1
2AHT2,8,0,0,1,0,0,101156,247
2AHT2,9,0,0,0,1,0,103120,-1
2AHT2,10,0,0,0,1,0,105088,-1
2AHT2,11,0,0,0,1,0,107053,-1
2AHT2,12,0,0,0,1,0,109020,-1
2AHT2,13,1,0,1,1,0,110988,352
2AHT2,14,0,0,0,1,0,112951,-1
2AHT2,15,0,0,0,1,0,114916,-1
2AHT2,16,0,0,0,1,0,116883,-1
2AHT2,17,0,0,0,1,0,118849,-1
2AHT2,18,1,0,1,1,0,120815,431
2AHT2,19,0,0,0,1,0,122778,-1
2AHT2,20,0,0,0,1,0,124743,-1
2AHT2,21,1,0,1,1,0,126711,429
2AHT2,22,1,0,1,1,0,128678,649
2AHT2,23,0,0,0,1,0,130642,-1
2AHT2,24,0,0,0,1,0,132606,-1
2AHT2,25,0,0,0,1,0,134572,-1
2AHT2,26,0,0,0,1,0,136538,-1
2AHT2,27,0,0,0,1,0,138504,-1
2AHT2,28,0,0,0,1,0,140472,-1
2AHT2,29,0,0,0,1,0,142440,-1
2AHT2,30,0,0,0,1,0,144406,-1
2AHT2,31,0,0,0,1,0,146372,-1
2AHT2,32,0,0,0,1,0,148338,-1
2AHT2,33,0,0,0,1,0,150306,-1
2AHT2,34,0,0,0,1,0,152273,-1
2AHT2,35,1,0,1,1,0,154241,607
2AHT2,36,0,0,0,1,0,156202,-1
2AHT2,37,0,0,0,1,0,158166,-1
2AHT2,38,0,0,0,1,0,160131,-1
2AHT2,39,1,0,1,1,0,162097,546
2AHT2,40,0,0,0,1,0,164060,-1
2AHT2,41,0,0,0,1,0,166026,-1
2AHT2,42,1,0,1,1,0,167993,609
2AHT2,43,0,0,0,1,0,169956,-1
2AHT2,44,0,0,0,1,0,171922,-1
2AHT2,45,0,0,0,1,0,173888,-1
2AHT2,46,1,0,1,1,0,175858,357
2AHT2,47,0,0,0,1,0,177819,-1
2AHT2,48,0,0,0,1,0,179785,-1
2AHT2,49,0,0,0,1,0,181750,-1
2AHT2,50,1,0,1,1,0,183719,534
2AHT2,51,0,0,0,1,0,185681,-1
2AHT2,52,0,0,0,1,0,187648,-1
2AHT2,53,1,0,1,1,0,189613,469
2AHT2,54,0,0,0,1,0,191573,-1
2AHT2,55,0,0,0,1,0,193538,-1
2AHT2,56,0,0,0,1,0,195504,-1
2AHT2,57,0,0,0,1,0,197468,-1
2AHT2,58,0,0,0,1,0,199432,-1
2AHT2,59,1,0,1,1,0,201397,387
2AHT2,60,0,0,0,1,0,203360,-1
2AHT2,61,0,0,0,1,0,205325,-1
2AHT2,62,0,0,0,1,0,207289,-1
2AHT2,63,1,0,1,1,0,209255,543
2AHT2,64,0,0,0,1,0,211218,-1
2AHT2,65,1,0,1,1,0,213185,564
2AHT2,66,0,0,0,1,0,215149,-1
2AHT2,67,0,0,0,1,0,217117,-1
2AHT2,68,0,0,0,1,0,219082,-1
2AHT2,69,0,0,0,1,0,221048,-1
2AHT2,70,1,0,1,1,0,223013,525
2AHT2,71,0,0,0,1,0,224976,-1
2AHT2,72,0,0,0,1,0,226941,-1
2AHT2,73,0,0,0,1,0,228908,-1
2AHT2,74,0,0,0,1,0,230876,-1
2AHT2,75,0,0,0,1,0,232841,-1
2AHT2,76,0,0,0,1,0,234806,-1
2AHT2,77,0,0,0,1,0,236771,-1
2AHT2,78,1,0,1,1,0,238738,378
2AHT2,79,0,0,0,1,0,240699,-1
2AHT2,80,0,0,0,1,0,242660,-1
2AHT2,81,0,0,0,1,0,244625,-1
2AHT2,82,0,0,0,1,0,246590,-1
2AHT2,83,0,0,0,1,0,248555,-1
2AHT2,84,0,0,0,1,0,250520,-1
2AHT2,85,0,0,0,1,0,252488,-1
2AHT2,86,0,0,0,1,0,254457,-1
2AHT2,87,0,0,0,1,0,256422,-1
2AHT2,88,0,0,0,1,0,258390,-1
2AHT2,89,0,0,0,1,0,260356,-1
2AHT2,90,0,0,0,1,0,262324,-1
2AHT2,91,0,0,0,1,0,264289,-1
2AHT2,92,1,0,1,1,0,266255,466
2AHT2,93,0,0,0,1,0,268217,-1
2AHT2,94,0,0,0,1,0,270182,-1
2AHT2,95,0,0,0,1,0,272146,-1
2AHT2,96,1,0,1,1,0,274109,620
2AHT2,97,1,0,1,1,0,276070,718
2AHT2,98,0,0,0,1,0,278032,-1
2AHT2,99,0,0,0,1,0,279998,-1
2AHT2,100,0,0,0,1,0,281965,-1
2AHT2,101,0,0,0,1,0,283931,-1
2AHT2,102,1,0,1,1,0,285898,551
2AHT2,103,0,0,0,1,0,287860,-1
2AHT2,104,0,0,0,1,0,289823,-1
2AHT2,105,0,0,0,1,0,291790,-1
2AHT2,106,0,0,0,1,0,293757,-1
2AHT2,107,0,0,0,1,0,295723,-1
2AHT2,108,1,0,1,1,0,297687,529
2AHT2,109,0,0,0,1,0,299649,-1
2AHT2,110,0,0,0,1,0,301614,-1
2AHT2,111,0,0,0,1,0,303581,-1
2AHT2,112,0,0,0,1,0,305547,-1
2AHT2,113,0,0,0,1,0,307514,-1
2AHT2,114,1,0,1,1,0,309481,419
2AHT2,115,0,0,0,1,0,311445,-1
2AHT2,116,1,0,1,1,0,313410,494
2AHT2,117,1,0,1,1,0,315371,509
2AHT2,118,0,0,0,1,0,317334,-1
2AHT2,119,1,0,1,1,0,319303,470
2AHT2,120,0,0,0,1,0,321264,-1
2AHT2,121,0,0,0,1,0,323231,-1
2AHT2,122,1,0,1,1,0,325198,465
2AHT2,123,1,0,1,1,0,327160,557
2AHT2,124,0,0,0,1,0,329122,-1
2AHT2,125,0,0,0,1,0,331088,-1
2AHT2,126,0,0,0,1,0,333055,-1
2AHT2,127,1,0,1,1,0,335019,446
2AHT2,128,0,0,0,1,0,336981,-1
2AHT2,129,1,0,1,1,0,338948,388
2AHT2,130,0,0,1,0,0,340909,328
2AHT2,131,0,0,0,1,0,342872,-1
2AHT2,132,1,0,1,1,0,344838,494
2AHT2,133,0,0,0,1,0,346800,-1
2AHT2,134,0,0,0,1,0,348768,-1
2AHT2,135,1,0,1,1,0,350737,376
2AHT2,136,0,0,0,1,0,352701,-1
2AHT2,137,1,0,1,1,0,354668,562
2AHT2,138,0,0,0,1,0,356629,-1
2AHT2,139,0,0,0,1,0,358594,-1
2AHT2,140,1,0,1,1,0,360562,412
2AHT2,141,0,0,0,1,0,362524,-1
2AHT2,142,0,0,0,1,0,364489,-1
2AHT2,143,0,0,0,1,0,366454,-1
2AHT2,144,0,0,0,1,0,368420,-1
2AHT2,145,0,0,0,1,0,370386,-1
2AHT2,146,0,0,0,1,0,372351,-1
2AHT2,147,1,0,1,1,0,374317,521
2AHT2,148,0,0,0,1,0,376279,-1
2AHT2,149,1,0,1,1,0,378244,686
2AHT2,150,1,0,1,1,0,380205,841
2AHT2,151,0,0,0,1,0,382167,-1
2AHT2,152,0,0,0,1,0,384133,-1
2AHT2,153,0,0,0,1,0,386100,-1
2AHT2,154,0,0,0,1,0,388066,-1
2AHT2,155,0,0,0,1,0,390033,-1
2AHT2,156,0,0,0,1,0,391998,-1
2AHT2,157,0,0,0,1,0,393964,-1
2AHT2,158,0,0,0,1,0,395931,-1
2AHT2,159,0,0,0,1,0,397897,-1
2AHT2,160,0,0,0,1,0,399865,-1
2AHT2,161,0,0,0,1,0,401832,-1
2AHT2,162,0,0,0,1,0,403800,-1
2AHT2,163,0,0,0,1,0,405767,-1
2AHT2,164,1,0,1,1,0,407733,532
2AHT2,165,0,0,0,1,0,409695,-1
2AHT2,166,0,0,0,1,0,411659,-1
2AHT2,167,0,0,0,1,0,413625,-1
2AHT2,168,0,0,0,1,0,415590,-1
2AHT2,169,0,0,0,1,0,417556,-1
2AHT2,170,0,0,0,1,0,419524,-1
2AHT2,171,1,0,1,1,0,421490,455
2AHT2,172,1,0,1,1,0,423452,601
2AHT2,173,0,0,0,1,0,425414,-1
2AHT2,174,0,0,0,1,0,427381,-1
2AHT2,175,1,0,1,1,0,429346,429
2AHT2,176,0,0,0,1,0,431307,-1
2AHT2,177,0,0,0,1,0,433273,-1
2AHT2,178,0,0,0,1,0,435246,-1
2AHT2,179,0,0,0,1,0,437213,-1
2AHT2,180,1,0,1,1,0,439178,464
2AHT2,181,0,0,0,1,0,441146,-1
2AHT2,182,0,0,0,1,0,443116,-1
2AHT2,183,0,0,0,1,0,445080,-1
2AHT2,184,0,0,0,1,0,447045,-1
2AHT2,185,0,0,0,1,0,449012,-1
2AHT2,186,0,0,0,1,0,450977,-1
2AHT2,187,0,0,0,1,0,452943,-1
2AHT2,188,0,0,0,1,0,454910,-1
2AHT2,189,0,0,0,1,0,456878,-1
2AHT2,190,1,0,1,1,0,458846,422
2AHT2,191,0,0,0,1,0,460810,-1
2AHT2,192,0,0,0,1,0,462777,-1
2AHT2,193,0,0,0,1,0,464744,-1
2AHT2,194,0,0,0,1,0,466711,-1
2AHT2,195,0,0,0,1,0,468678,-1
2AHT2,196,1,0,1,1,0,470645,474
2AHT2,197,0,0,0,1,0,472608,-1
2AHT2,198,0,0,0,1,0,474574,-1
2AHT2,199,0,0,0,1,0,476540,-1
2AHT2,200,1,0,1,1,0,478508,539
2AHT2,201,0,0,0,1,0,480471,-1
2AHT2,202,0,0,0,1,0,482436,-1
2AHT2,203,0,0,0,1,0,484406,-1
2AHT2,204,1,0,1,1,0,486372,442
2AHT2,205,0,0,0,1,0,488335,-1
2AHT2,206,0,0,0,1,0,490301,-1
2AHT2,207,0,0,0,1,0,492267,-1
2AHT2,208,0,0,0,1,0,494231,-1
