,,,,,,
Statistic          , Half 1,Half 2,Pooled,,,
Total Trials       ,320,320,640,,,
Correct Targets    ,72,248,320,,,
Correct Foils      ,246,65,311,,,
Correct Trials     ,318,313,631,,,
Commission Errors  ,2,7,9,,,
Ommission Errors   ,0,0,0,,,
Correct RT Mean    ,480,350,379,,,
Error RT Mean      ,420,271,304,,,
RT Mean            ,479,348,377,,,
RT SD              ,68,65,85,,,
Anticipations      ,0,0,0,,,
Multiple Responses ,0,0,0,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
