sub,trial,targ,toofast,responded,corr,mult,time,rt
2LGt2,0,0,0,0,1,0,20636,-1
2LGt2,1,0,0,0,1,0,22595,-1
2LGt2,2,0,0,0,1,0,24556,-1
2LGt2,3,0,0,0,1,0,26517,-1
2LGt2,4,0,0,0,1,0,28478,-1
2LGt2,5,0,0,0,1,0,30437,-1
2LGt2,6,0,0,0,1,0,32398,-1
2LGt2,7,0,0,0,1,0,34357,-1
2LGt2,8,0,0,0,1,0,36317,-1
2LGt2,9,1,0,1,1,0,38277,540
2LGt2,10,1,0,1,1,0,40237,387
2LGt2,11,1,0,1,1,0,42194,340
2LGt2,12,0,0,1,0,0,44153,319
2LGt2,13,0,0,0,1,0,46110,-1
2LGt2,14,0,0,0,1,0,48069,-1
2LGt2,15,0,0,0,1,0,50029,-1
2LGt2,16,0,0,0,1,0,51992,-1
2LGt2,17,0,0,0,1,0,53954,-1
2LGt2,18,0,0,0,1,0,55913,-1
2LGt2,19,0,0,0,1,0,57874,-1
2LGt2,20,0,0,0,1,0,59839,-1
2LGt2,21,0,0,0,1,0,61799,-1
2LGt2,22,1,0,1,1,0,63758,423
2LGt2,23,0,0,0,1,0,65715,-1
2LGt2,24,0,0,0,1,0,67674,-1
2LGt2,25,1,0,1,1,0,69634,542
2LGt2,26,0,0,0,1,0,71590,-1
2LGt2,27,1,0,1,1,0,73550,484
2LGt2,28,0,0,0,1,0,75509,-1
2LGt2,29,0,0,0,1,0,77469,-1
2LGt2,30,0,0,0,1,0,79430,-1
2LGt2,31,0,0,0,1,0,81391,-1
2LGt2,32,0,0,0,1,0,83350,-1
2LGt2,33,0,0,0,1,0,85310,-1
2LGt2,34,0,0,0,1,0,87272,-1
2LGt2,35,0,0,0,1,0,89232,-1
2LGt2,36,0,0,0,1,0,91192,-1
2LGt2,37,0,0,0,1,0,93153,-1
2LGt2,38,0,0,0,1,0,95114,-1
2LGt2,39,1,0,1,1,0,97073,514
2LGt2,40,0,0,0,1,0,99032,-1
2LGt2,41,1,0,1,1,0,100994,519
2LGt2,42,0,0,0,1,0,102952,-1
2LGt2,43,0,0,0,1,0,104911,-1
2LGt2,44,0,0,0,1,0,106872,-1
2LGt2,45,0,0,0,1,0,108833,-1
2LGt2,46,0,0,0,1,0,110792,-1
2LGt2,47,0,0,0,1,0,112754,-1
2LGt2,48,1,0,1,1,0,114713,492
2LGt2,49,0,0,0,1,0,116672,-1
2LGt2,50,1,0,1,1,0,118629,425
2LGt2,51,0,0,0,1,0,120588,-1
2LGt2,52,1,0,1,1,0,122548,387
2LGt2,53,0,0,0,1,0,124506,-1
2LGt2,54,1,0,1,1,0,126466,406
2LGt2,55,0,0,0,1,0,128422,-1
2LGt2,56,0,0,0,1,0,130384,-1
2LGt2,57,1,0,1,1,0,132342,436
2LGt2,58,0,0,0,1,0,134298,-1
2LGt2,59,0,0,0,1,0,136259,-1
2LGt2,60,0,0,0,1,0,138221,-1
2LGt2,61,0,0,0,1,0,140181,-1
2LGt2,62,0,0,1,0,0,142139,520
2LGt2,63,0,0,0,1,0,144097,-1
2LGt2,64,0,0,0,1,0,146055,-1
2LGt2,65,1,0,1,1,0,148015,472
2LGt2,66,0,0,0,1,0,149974,-1
2LGt2,67,0,0,0,1,0,151933,-1
2LGt2,68,0,0,0,1,0,153893,-1
2LGt2,69,0,0,0,1,0,155854,-1
2LGt2,70,1,0,1,1,0,157815,553
2LGt2,71,1,0,1,1,0,159773,612
2LGt2,72,1,0,1,1,0,161729,355
2LGt2,73,0,0,0,1,0,163686,-1
2LGt2,74,0,0,0,1,0,165647,-1
2LGt2,75,0,0,0,1,0,167608,-1
2LGt2,76,0,0,0,1,0,169567,-1
2LGt2,77,0,0,0,1,0,171527,-1
2LGt2,78,0,0,0,1,0,173488,-1
2LGt2,79,1,0,1,1,0,175445,563
2LGt2,80,1,0,1,1,0,177403,412
2LGt2,81,0,0,0,1,0,179362,-1
2LGt2,82,0,0,0,1,0,181322,-1
2LGt2,83,0,0,0,1,0,183283,-1
2LGt2,84,0,0,0,1,0,185241,-1
2LGt2,85,0,0,0,1,0,187202,-1
2LGt2,86,0,0,0,1,0,189161,-1
2LGt2,87,0,0,0,1,0,191120,-1
2LGt2,88,0,0,0,1,0,193079,-1
2LGt2,89,0,0,0,1,0,195039,-1
2LGt2,90,0,0,0,1,0,196999,-1
2LGt2,91,0,0,0,1,0,198959,-1
