sub,trial,targ,toofast,responded,corr,mult,time,rt
2ULT2,0,0,0,0,1,0,67039,-1
2ULT2,1,1,0,1,1,0,69000,380
2ULT2,2,0,0,0,1,0,70956,-1
2ULT2,3,1,0,1,1,0,72916,327
2ULT2,4,0,0,0,1,0,74874,-1
2ULT2,5,0,0,0,1,0,76836,-1
2ULT2,6,1,0,1,1,0,78794,452
2ULT2,7,1,0,1,1,0,80750,412
2ULT2,8,0,0,0,1,0,82709,-1
2ULT2,9,0,0,0,1,0,84668,-1
2ULT2,10,0,0,0,1,0,86626,-1
2ULT2,11,0,0,0,1,0,88584,-1
2ULT2,12,0,0,0,1,0,90545,-1
2ULT2,13,0,0,0,1,0,92506,-1
2ULT2,14,0,0,0,1,0,94466,-1
2ULT2,15,0,0,0,1,0,96426,-1
2ULT2,16,0,0,0,1,0,98386,-1
2ULT2,17,0,0,0,1,0,100347,-1
2ULT2,18,0,0,0,1,0,102308,-1
2ULT2,19,0,0,0,1,0,104266,-1
2ULT2,20,0,0,0,1,0,106227,-1
2ULT2,21,1,0,1,1,0,108187,420
2ULT2,22,0,0,0,1,0,110145,-1
2ULT2,23,1,0,1,1,0,112107,465
2ULT2,24,0,0,0,1,0,114062,-1
2ULT2,25,0,0,0,1,0,116023,-1
2ULT2,26,0,0,0,1,0,117982,-1
2ULT2,27,0,0,0,1,0,119943,-1
2ULT2,28,0,0,0,1,0,121902,-1
2ULT2,29,0,0,0,1,0,123863,-1
2ULT2,30,0,0,0,1,0,125822,-1
2ULT2,31,0,0,0,1,0,127781,-1
2ULT2,32,0,0,0,1,0,129742,-1
2ULT2,33,0,0,0,1,0,131702,-1
2ULT2,34,0,0,0,1,0,133659,-1
2ULT2,35,0,0,0,1,0,135618,-1
2ULT2,36,0,0,0,1,0,137577,-1
2ULT2,37,1,0,1,1,0,139533,413
2ULT2,38,0,0,0,1,0,141491,-1
2ULT2,39,0,0,0,1,0,143453,-1
2ULT2,40,0,0,0,1,0,145413,-1
2ULT2,41,0,0,0,1,0,147374,-1
2ULT2,42,1,0,1,1,0,149332,444
2ULT2,43,1,0,1,1,0,151290,438
2ULT2,44,0,0,0,1,0,153247,-1
2ULT2,45,1,0,1,1,0,155208,417
2ULT2,46,0,0,0,1,0,157165,-1
2ULT2,47,0,0,0,1,0,159126,-1
2ULT2,48,0,0,0,1,0,161085,-1
2ULT2,49,0,0,0,1,0,163045,-1
2ULT2,50,0,0,0,1,0,165006,-1
2ULT2,51,1,0,1,1,0,166965,436
2ULT2,52,0,0,0,1,0,168922,-1
2ULT2,53,0,0,0,1,0,170883,-1
2ULT2,54,0,0,0,1,0,172844,-1
2ULT2,55,0,0,0,1,0,174803,-1
2ULT2,56,0,0,0,1,0,176764,-1
2ULT2,57,1,0,1,1,0,178724,439
2ULT2,58,1,0,1,1,0,180682,452
2ULT2,59,1,0,1,1,0,182638,413
2ULT2,60,0,0,0,1,0,184595,-1
2ULT2,61,0,0,0,1,0,186554,-1
2ULT2,62,0,0,0,1,0,188513,-1
2ULT2,63,0,0,0,1,0,190474,-1
2ULT2,64,0,0,0,1,0,192433,-1
2ULT2,65,0,0,0,1,0,194393,-1
2ULT2,66,0,0,0,1,0,196353,-1
2ULT2,67,1,0,1,1,0,198314,375
2ULT2,68,0,0,0,1,0,200272,-1
2ULT2,69,0,0,0,1,0,202231,-1
2ULT2,70,1,0,1,1,0,204190,474
2ULT2,71,0,0,0,1,0,206147,-1
2ULT2,72,0,0,0,1,0,208105,-1
2ULT2,73,0,0,0,1,0,210064,-1
2ULT2,74,0,0,0,1,0,212025,-1
2ULT2,75,0,0,0,1,0,213985,-1
2ULT2,76,1,0,1,1,0,215943,453
2ULT2,77,0,0,0,1,0,217900,-1
2ULT2,78,0,0,0,1,0,219862,-1
2ULT2,79,1,0,1,1,0,221822,375
2ULT2,80,1,0,1,1,0,223780,383
2ULT2,81,0,0,0,1,0,225737,-1
2ULT2,82,0,0,0,1,0,227696,-1
2ULT2,83,0,0,0,1,0,229656,-1
2ULT2,84,0,0,0,1,0,231615,-1
2ULT2,85,0,0,0,1,0,233575,-1
2ULT2,86,0,0,0,1,0,235534,-1
2ULT2,87,0,0,0,1,0,237493,-1
2ULT2,88,0,0,0,1,0,239454,-1
2ULT2,89,0,0,0,1,0,241416,-1
2ULT2,90,0,0,0,1,0,243375,-1
2ULT2,91,0,0,0,1,0,245335,-1
2ULT2,92,0,0,0,1,0,247292,-1
2ULT2,93,0,0,0,1,0,249251,-1
2ULT2,94,0,0,0,1,0,251213,-1
2ULT2,95,0,0,0,1,0,253172,-1
2ULT2,96,0,0,0,1,0,255132,-1
2ULT2,97,0,0,0,1,0,257093,-1
2ULT2,98,0,0,0,1,0,259052,-1
2ULT2,99,0,0,0,1,0,261012,-1
2ULT2,100,0,0,0,1,0,262971,-1
2ULT2,101,1,0,1,1,0,264933,456
2ULT2,102,0,0,0,1,0,266891,-1
2ULT2,103,1,0,1,1,0,268850,405
2ULT2,104,0,0,0,1,0,270808,-1
2ULT2,105,0,0,0,1,0,272767,-1
2ULT2,106,0,0,0,1,0,274727,-1
2ULT2,107,0,0,0,1,0,276687,-1
2ULT2,108,1,0,1,1,0,278646,486
2ULT2,109,1,0,1,1,0,280601,427
2ULT2,110,0,0,0,1,0,282557,-1
2ULT2,111,0,0,0,1,0,284517,-1
2ULT2,112,0,0,0,1,0,286479,-1
2ULT2,113,0,0,0,1,0,288441,-1
2ULT2,114,0,0,0,1,0,290401,-1
2ULT2,115,0,0,0,1,0,292360,-1
2ULT2,116,1,0,1,1,0,294318,412
2ULT2,117,0,0,0,1,0,296276,-1
2ULT2,118,0,0,0,1,0,298236,-1
2ULT2,119,0,0,0,1,0,300193,-1
2ULT2,120,0,0,0,1,0,302151,-1
2ULT2,121,0,0,0,1,0,304110,-1
2ULT2,122,0,0,0,1,0,306069,-1
2ULT2,123,0,0,0,1,0,308030,-1
2ULT2,124,0,0,0,1,0,309989,-1
2ULT2,125,0,0,0,1,0,311949,-1
2ULT2,126,0,0,0,1,0,313907,-1
2ULT2,127,0,0,0,1,0,315867,-1
2ULT2,128,0,0,0,1,0,317826,-1
2ULT2,129,0,0,0,1,0,319785,-1
2ULT2,130,0,0,0,1,0,321746,-1
2ULT2,131,0,0,0,1,0,323706,-1
2ULT2,132,1,0,1,1,0,325665,444
2ULT2,133,0,0,0,1,0,327621,-1
2ULT2,134,1,0,1,1,0,329583,387
2ULT2,135,0,0,0,1,0,331540,-1
2ULT2,136,0,0,0,1,0,333501,-1
2ULT2,137,0,0,0,1,0,335462,-1
2ULT2,138,0,0,0,1,0,337422,-1
2ULT2,139,1,0,1,1,0,339385,396
2ULT2,140,0,0,0,1,0,341342,-1
2ULT2,141,0,0,0,1,0,343301,-1
2ULT2,142,1,0,1,1,0,345262,424
2ULT2,143,1,0,1,1,0,347221,543
2ULT2,144,1,0,1,1,0,349178,417
2ULT2,145,0,0,0,1,0,351139,-1
2ULT2,146,0,0,0,1,0,353098,-1
2ULT2,147,0,0,0,1,0,355058,-1
2ULT2,148,0,0,0,1,0,357016,-1
2ULT2,149,0,0,0,1,0,358977,-1
2ULT2,150,0,0,0,1,0,360937,-1
2ULT2,151,0,0,0,1,0,362896,-1
2ULT2,152,0,0,0,1,0,364853,-1
2ULT2,153,1,0,1,1,0,366814,420
2ULT2,154,0,0,0,1,0,368772,-1
2ULT2,155,0,0,0,1,0,370730,-1
2ULT2,156,0,0,0,1,0,372688,-1
2ULT2,157,0,0,0,1,0,374646,-1
2ULT2,158,0,0,0,1,0,376607,-1
2ULT2,159,0,0,0,1,0,378567,-1
2ULT2,160,0,0,0,1,0,380527,-1
2ULT2,161,1,0,1,1,0,382487,432
2ULT2,162,0,0,0,1,0,384444,-1
2ULT2,163,0,0,0,1,0,386403,-1
2ULT2,164,1,0,1,1,0,388363,432
2ULT2,165,1,0,1,1,0,390320,615
2ULT2,166,0,0,0,1,0,392278,-1
2ULT2,167,0,0,0,1,0,394236,-1
2ULT2,168,1,0,1,1,0,396195,499
2ULT2,169,0,0,0,1,0,398153,-1
2ULT2,170,0,0,0,1,0,400112,-1
2ULT2,171,0,0,0,1,0,402073,-1
2ULT2,172,1,0,1,1,0,404031,394
2ULT2,173,0,0,0,1,0,405990,-1
2ULT2,174,1,0,1,1,0,407952,400
2ULT2,175,0,0,0,1,0,409910,-1
2ULT2,176,0,0,0,1,0,411870,-1
2ULT2,177,1,0,1,1,0,413830,466
2ULT2,178,0,0,0,1,0,415787,-1
2ULT2,179,0,0,0,1,0,417746,-1
2ULT2,180,1,0,1,1,0,419706,451
2ULT2,181,1,0,1,1,0,421664,499
2ULT2,182,1,0,1,1,0,423622,458
2ULT2,183,1,0,1,1,0,425579,379
2ULT2,184,0,0,0,1,0,427535,-1
2ULT2,185,1,0,1,1,0,429494,413
2ULT2,186,0,0,0,1,0,431451,-1
2ULT2,187,0,0,0,1,0,433411,-1
2ULT2,188,0,0,0,1,0,435370,-1
2ULT2,189,0,0,0,1,0,437332,-1
2ULT2,190,0,0,0,1,0,439292,-1
2ULT2,191,0,0,0,1,0,441253,-1
2ULT2,192,1,0,1,1,0,443213,354
2ULT2,193,0,0,0,1,0,445169,-1
2ULT2,194,0,0,0,1,0,447128,-1
2ULT2,195,1,0,1,1,0,449090,430
2ULT2,196,0,0,0,1,0,451047,-1
2ULT2,197,0,0,0,1,0,453006,-1
2ULT2,198,1,0,1,1,0,454968,369
2ULT2,199,0,0,0,1,0,456925,-1
2ULT2,200,0,0,0,1,0,458887,-1
2ULT2,201,1,0,1,1,0,460847,501
2ULT2,202,0,0,0,1,0,462804,-1
2ULT2,203,0,0,0,1,0,464762,-1
2ULT2,204,0,0,0,1,0,466720,-1
2ULT2,205,1,0,1,1,0,468679,447
2ULT2,206,0,0,0,1,0,470635,-1
2ULT2,207,0,0,0,1,0,472597,-1
2ULT2,208,0,0,0,1,0,474558,-1
2ULT2,209,0,0,0,1,0,476517,-1
2ULT2,210,0,0,0,1,0,478479,-1
2ULT2,211,0,0,0,1,0,480439,-1
2ULT2,212,1,0,1,1,0,482397,419
2ULT2,213,0,0,0,1,0,484357,-1
2ULT2,214,0,0,0,1,0,486318,-1
2ULT2,215,1,0,1,1,0,488277,456
2ULT2,216,0,0,0,1,0,490233,-1
2ULT2,217,1,0,1,1,0,492192,448
2ULT2,218,0,0,0,1,0,494149,-1
2ULT2,219,0,0,0,1,0,496108,-1
2ULT2,220,0,0,0,1,0,498066,-1
2ULT2,221,1,0,1,1,0,500028,392
2ULT2,222,0,0,0,1,0,501985,-1
2ULT2,223,0,0,0,1,0,503945,-1
2ULT2,224,0,0,0,1,0,505905,-1
2ULT2,225,0,0,0,1,0,507863,-1
2ULT2,226,0,0,0,1,0,509822,-1
2ULT2,227,0,0,0,1,0,511781,-1
2ULT2,228,0,0,0,1,0,513742,-1
2ULT2,229,1,0,1,1,0,515703,559
2ULT2,230,0,0,0,1,0,517661,-1
2ULT2,231,1,0,1,1,0,519619,470
2ULT2,232,0,0,0,1,0,521576,-1
2ULT2,233,0,0,0,1,0,523536,-1
2ULT2,234,0,0,0,1,0,525497,-1
2ULT2,235,0,0,0,1,0,527455,-1
2ULT2,236,0,0,0,1,0,529417,-1
2ULT2,237,0,0,0,1,0,531377,-1
2ULT2,238,0,0,0,1,0,533335,-1
2ULT2,239,1,0,1,1,0,535296,363
2ULT2,240,0,0,0,1,0,537255,-1
2ULT2,241,0,0,0,1,0,539216,-1
2ULT2,242,0,0,0,1,0,541175,-1
2ULT2,243,0,0,0,1,0,543133,-1
2ULT2,244,0,0,0,1,0,545096,-1
2ULT2,245,0,0,0,1,0,547055,-1
2ULT2,246,0,0,0,1,0,549014,-1
2ULT2,247,0,0,0,1,0,550976,-1
2ULT2,248,0,0,0,1,0,552933,-1
2ULT2,249,1,0,1,1,0,554893,423
2ULT2,250,0,0,0,1,0,556853,-1
2ULT2,251,0,0,0,1,0,558813,-1
2ULT2,252,0,0,0,1,0,560775,-1
2ULT2,253,0,0,0,1,0,562735,-1
2ULT2,254,0,0,0,1,0,564695,-1
2ULT2,255,0,0,0,1,0,566655,-1
2ULT2,256,0,0,0,1,0,568613,-1
2ULT2,257,0,0,0,1,0,570574,-1
2ULT2,258,0,0,0,1,0,572533,-1
2ULT2,259,0,0,0,1,0,574492,-1
2ULT2,260,0,0,0,1,0,576452,-1
2ULT2,261,0,0,0,1,0,578411,-1
2ULT2,262,0,0,0,1,0,580371,-1
2ULT2,263,0,0,0,1,0,582331,-1
2ULT2,264,0,0,0,1,0,584290,-1
2ULT2,265,0,0,0,1,0,586250,-1
2ULT2,266,0,0,0,1,0,588211,-1
2ULT2,267,0,0,0,1,0,590172,-1
2ULT2,268,0,0,0,1,0,592132,-1
2ULT2,269,0,0,0,1,0,594093,-1
2ULT2,270,0,0,0,1,0,596054,-1
2ULT2,271,1,0,1,1,0,598013,428
2ULT2,272,0,0,0,1,0,599973,-1
