sub,trial,targ,toofast,responded,corr,mult,time,rt
3LGT2,0,1,0,1,1,0,16616,531
3LGT2,1,0,0,0,1,0,18576,-1
3LGT2,2,0,0,0,1,0,20538,-1
3LGT2,3,0,0,0,1,0,22500,-1
3LGT2,4,0,0,0,1,0,24458,-1
3LGT2,5,0,0,0,1,0,26420,-1
3LGT2,6,0,0,0,1,0,28380,-1
3LGT2,7,1,0,1,1,0,30341,367
3LGT2,8,0,0,0,1,0,32298,-1
3LGT2,9,0,0,0,1,0,34259,-1
3LGT2,10,0,0,0,1,0,36220,-1
3LGT2,11,0,0,0,1,0,38178,-1
3LGT2,12,0,0,0,1,0,40138,-1
3LGT2,13,0,0,0,1,0,42099,-1
3LGT2,14,0,0,0,1,0,44056,-1
3LGT2,15,0,0,0,1,0,46014,-1
3LGT2,16,0,0,0,1,0,47974,-1
3LGT2,17,0,0,0,1,0,49934,-1
3LGT2,18,0,0,0,1,0,51894,-1
3LGT2,19,1,0,1,1,0,53854,473
3LGT2,20,0,0,0,1,0,55814,-1
3LGT2,21,0,0,0,1,0,57775,-1
3LGT2,22,0,0,0,1,0,59738,-1
3LGT2,23,1,0,1,1,0,61698,473
3LGT2,24,0,0,0,1,0,63655,-1
3LGT2,25,0,0,0,1,0,65615,-1
3LGT2,26,0,0,0,1,0,67576,-1
3LGT2,27,0,0,0,1,0,69536,-1
3LGT2,28,1,0,1,1,0,71496,396
3LGT2,29,0,0,0,1,0,73454,-1
3LGT2,30,0,0,0,1,0,75415,-1
3LGT2,31,0,0,0,1,0,77374,-1
3LGT2,32,0,0,0,1,0,79335,-1
3LGT2,33,1,0,1,1,0,81295,383
3LGT2,34,0,0,0,1,0,83254,-1
3LGT2,35,0,0,0,1,0,85214,-1
3LGT2,36,0,0,0,1,0,87174,-1
3LGT2,37,0,0,0,1,0,89134,-1
3LGT2,38,0,0,0,1,0,91096,-1
3LGT2,39,1,0,1,1,0,93057,380
3LGT2,40,0,0,0,1,0,95016,-1
3LGT2,41,1,0,1,1,0,96976,466
3LGT2,42,0,0,0,1,0,98932,-1
3LGT2,43,0,0,0,1,0,100894,-1
3LGT2,44,0,0,0,1,0,102852,-1
3LGT2,45,0,0,0,1,0,104811,-1
3LGT2,46,1,0,1,1,0,106769,323
3LGT2,47,0,0,0,1,0,108727,-1
3LGT2,48,0,0,0,1,0,110687,-1
3LGT2,49,0,0,0,1,0,112646,-1
3LGT2,50,0,0,0,1,0,114607,-1
3LGT2,51,0,0,0,1,0,116568,-1
3LGT2,52,0,0,0,1,0,118527,-1
3LGT2,53,0,0,0,1,0,120489,-1
3LGT2,54,0,0,0,1,0,122450,-1
3LGT2,55,0,0,0,1,0,124413,-1
3LGT2,56,0,0,0,1,0,126374,-1
3LGT2,57,1,0,1,1,0,128333,385
3LGT2,58,0,0,0,1,0,130290,-1
3LGT2,59,1,0,1,1,0,132249,373
3LGT2,60,0,0,0,1,0,134208,-1
3LGT2,61,0,0,0,1,0,136166,-1
3LGT2,62,0,0,0,1,0,138126,-1
3LGT2,63,1,0,1,1,0,140084,348
3LGT2,64,0,0,0,1,0,142040,-1
3LGT2,65,0,0,0,1,0,143999,-1
3LGT2,66,1,0,1,1,0,145960,355
3LGT2,67,1,0,1,1,0,147919,413
3LGT2,68,1,0,1,1,0,149878,289
3LGT2,69,0,0,0,1,0,151835,-1
3LGT2,70,1,0,1,1,0,153796,346
3LGT2,71,0,0,0,1,0,155755,-1
3LGT2,72,0,0,0,1,0,157715,-1
3LGT2,73,0,0,0,1,0,159674,-1
3LGT2,74,0,0,0,1,0,161634,-1
3LGT2,75,1,0,1,1,0,163596,376
3LGT2,76,1,0,1,1,0,165554,438
3LGT2,77,0,0,0,1,0,167512,-1
3LGT2,78,1,0,1,1,0,169474,378
3LGT2,79,0,0,0,1,0,171431,-1
3LGT2,80,1,0,1,1,0,173392,396
3LGT2,81,0,0,0,1,0,175350,-1
3LGT2,82,0,0,0,1,0,177311,-1
3LGT2,83,0,0,0,1,0,179270,-1
3LGT2,84,0,0,0,1,0,181232,-1
3LGT2,85,0,0,0,1,0,183191,-1
3LGT2,86,0,0,0,1,0,185151,-1
3LGT2,87,0,0,0,1,0,187110,-1
3LGT2,88,0,0,0,1,0,189069,-1
3LGT2,89,0,0,0,1,0,191029,-1
3LGT2,90,0,0,0,1,0,192988,-1
3LGT2,91,0,0,0,1,0,194947,-1
3LGT2,92,1,0,1,1,0,196908,389
3LGT2,93,0,0,0,1,0,198867,-1
3LGT2,94,0,0,0,1,0,200826,-1
3LGT2,95,1,0,1,1,0,202786,379
3LGT2,96,0,0,0,1,0,204744,-1
3LGT2,97,0,0,0,1,0,206705,-1
3LGT2,98,1,0,1,1,0,208667,503
3LGT2,99,0,0,0,1,0,210624,-1
3LGT2,100,0,0,0,1,0,212585,-1
3LGT2,101,0,0,0,1,0,214544,-1
3LGT2,102,0,0,0,1,0,216503,-1
3LGT2,103,0,0,0,1,0,218464,-1
3LGT2,104,0,0,0,1,0,220426,-1
3LGT2,105,0,0,0,1,0,222386,-1
3LGT2,106,0,0,0,1,0,224346,-1
3LGT2,107,0,0,0,1,0,226308,-1
3LGT2,108,0,0,0,1,0,228270,-1
3LGT2,109,0,0,0,1,0,230230,-1
3LGT2,110,0,0,0,1,0,232189,-1
3LGT2,111,0,0,0,1,0,234150,-1
3LGT2,112,0,0,0,1,0,236109,-1
3LGT2,113,0,0,0,1,0,238068,-1
3LGT2,114,0,0,0,1,0,240028,-1
3LGT2,115,0,0,0,1,0,241988,-1
3LGT2,116,0,0,0,1,0,243948,-1
3LGT2,117,0,0,0,1,0,245908,-1
3LGT2,118,1,0,1,1,0,247867,443
3LGT2,119,0,0,0,1,0,249825,-1
3LGT2,120,0,0,0,1,0,251784,-1
3LGT2,121,0,0,0,1,0,253745,-1
3LGT2,122,0,0,0,1,0,255705,-1
3LGT2,123,0,0,0,1,0,257666,-1
3LGT2,124,1,0,1,1,0,259627,354
3LGT2,125,0,0,0,1,0,261584,-1
3LGT2,126,0,0,0,1,0,263543,-1
3LGT2,127,0,0,0,1,0,265504,-1
3LGT2,128,0,0,0,1,0,267465,-1
3LGT2,129,0,0,0,1,0,269425,-1
3LGT2,130,0,0,0,1,0,271386,-1
3LGT2,131,0,0,0,1,0,273345,-1
3LGT2,132,0,0,0,1,0,275306,-1
3LGT2,133,0,0,0,1,0,277267,-1
3LGT2,134,0,0,0,1,0,279226,-1
3LGT2,135,0,0,0,1,0,281186,-1
3LGT2,136,0,0,0,1,0,283147,-1
3LGT2,137,0,0,0,1,0,285108,-1
3LGT2,138,1,0,1,1,0,287070,411
3LGT2,139,1,0,1,1,0,289029,371
3LGT2,140,0,0,0,1,0,290987,-1
3LGT2,141,0,0,0,1,0,292946,-1
3LGT2,142,0,0,0,1,0,294906,-1
3LGT2,143,0,0,0,1,0,296868,-1
3LGT2,144,0,0,0,1,0,298827,-1
3LGT2,145,0,0,0,1,0,300785,-1
3LGT2,146,0,0,0,1,0,302746,-1
3LGT2,147,0,0,0,1,0,304706,-1
3LGT2,148,1,0,1,1,0,306666,355
3LGT2,149,0,0,0,1,0,308624,-1
3LGT2,150,0,0,0,1,0,310584,-1
3LGT2,151,0,0,0,1,0,312544,-1
3LGT2,152,0,0,0,1,0,314506,-1
3LGT2,153,0,0,0,1,0,316465,-1
3LGT2,154,0,0,0,1,0,318424,-1
3LGT2,155,1,0,1,1,0,320383,497
3LGT2,156,1,0,1,1,0,322340,346
3LGT2,157,1,0,1,1,0,324298,345
3LGT2,158,1,0,1,1,0,326255,310
3LGT2,159,0,0,0,1,0,328213,-1
3LGT2,160,0,0,0,1,0,330175,-1
3LGT2,161,1,0,1,1,0,332135,414
3LGT2,162,1,0,1,1,0,334094,339
3LGT2,163,0,0,0,1,0,336052,-1
3LGT2,164,0,0,0,1,0,338012,-1
3LGT2,165,0,0,0,1,0,339972,-1
3LGT2,166,0,0,0,1,0,341933,-1
3LGT2,167,0,0,0,1,0,343893,-1
3LGT2,168,0,0,0,1,0,345852,-1
3LGT2,169,0,0,0,1,0,347813,-1
3LGT2,170,1,0,1,1,0,349774,392
3LGT2,171,0,0,0,1,0,351732,-1
3LGT2,172,0,0,0,1,0,353694,-1
3LGT2,173,0,0,0,1,0,355653,-1
3LGT2,174,0,0,0,1,0,357614,-1
3LGT2,175,0,0,0,1,0,359574,-1
3LGT2,176,1,0,1,1,0,361535,484
3LGT2,177,0,0,0,1,0,363494,-1
3LGT2,178,1,0,1,1,0,365454,390
3LGT2,179,0,0,0,1,0,367411,-1
3LGT2,180,0,0,0,1,0,369370,-1
3LGT2,181,0,0,0,1,0,371332,-1
3LGT2,182,1,0,1,1,0,373292,331
3LGT2,183,0,0,0,1,0,375250,-1
3LGT2,184,0,0,0,1,0,377210,-1
3LGT2,185,0,0,0,1,0,379170,-1
3LGT2,186,1,0,1,1,0,381129,367
3LGT2,187,1,0,1,1,0,383086,445
3LGT2,188,0,0,0,1,0,385044,-1
3LGT2,189,0,0,0,1,0,387003,-1
3LGT2,190,0,0,0,1,0,388964,-1
3LGT2,191,0,0,0,1,0,390924,-1
3LGT2,192,0,0,0,1,0,392884,-1
3LGT2,193,1,0,1,1,0,394845,347
3LGT2,194,0,0,0,1,0,396802,-1
3LGT2,195,0,0,0,1,0,398759,-1
3LGT2,196,0,0,0,1,0,400721,-1
3LGT2,197,0,0,0,1,0,402681,-1
3LGT2,198,0,0,0,1,0,404640,-1
3LGT2,199,0,0,0,1,0,406601,-1
3LGT2,200,0,0,0,1,0,408561,-1
3LGT2,201,1,0,1,1,0,410522,412
3LGT2,202,0,0,0,1,0,412479,-1
3LGT2,203,1,0,1,1,0,414439,349
3LGT2,204,0,0,0,1,0,416396,-1
3LGT2,205,0,0,0,1,0,418357,-1
3LGT2,206,0,0,0,1,0,420316,-1
3LGT2,207,0,0,0,1,0,422276,-1
3LGT2,208,0,0,0,1,0,424235,-1
3LGT2,209,0,0,0,1,0,426194,-1
3LGT2,210,1,0,1,1,0,428154,431
3LGT2,211,0,0,0,1,0,430112,-1
3LGT2,212,0,0,0,1,0,432073,-1
3LGT2,213,0,0,0,1,0,434034,-1
3LGT2,214,0,0,0,1,0,435992,-1
3LGT2,215,0,0,0,1,0,437951,-1
3LGT2,216,0,0,0,1,0,439911,-1
3LGT2,217,1,0,1,1,0,441870,405
3LGT2,218,0,0,0,1,0,443827,-1
3LGT2,219,0,0,0,1,0,445788,-1
3LGT2,220,0,0,0,1,0,447747,-1
3LGT2,221,1,0,1,1,0,449706,371
3LGT2,222,0,0,0,1,0,451665,-1
3LGT2,223,0,0,0,1,0,453625,-1
3LGT2,224,0,0,0,1,0,455584,-1
3LGT2,225,1,0,1,1,0,457545,452
3LGT2,226,0,0,0,1,0,459503,-1
3LGT2,227,0,0,0,1,0,461466,-1
3LGT2,228,0,0,0,1,0,463426,-1
3LGT2,229,0,0,0,1,0,465386,-1
3LGT2,230,0,0,0,1,0,467346,-1
3LGT2,231,0,0,0,1,0,469308,-1
3LGT2,232,0,0,0,1,0,471269,-1
3LGT2,233,0,0,0,1,0,473230,-1
3LGT2,234,1,0,1,1,0,475189,417
3LGT2,235,0,0,0,1,0,477147,-1
3LGT2,236,1,0,1,1,0,479107,476
