sub,trial,targ,toofast,responded,corr,mult,time,rt
3VAT2,0,0,0,0,1,0,9323,-1
3VAT2,1,0,0,0,1,0,11287,-1
3VAT2,2,1,0,1,1,0,13250,333
3VAT2,3,1,0,1,1,0,15208,539
3VAT2,4,0,0,0,1,0,17168,-1
3VAT2,5,1,0,1,1,0,19132,400
3VAT2,6,1,0,1,1,0,21092,403
3VAT2,7,0,0,0,1,0,23053,-1
3VAT2,8,1,0,1,1,0,25017,246
3VAT2,9,0,0,0,1,0,26978,-1
3VAT2,10,1,0,1,1,0,28943,226
3VAT2,11,1,0,1,1,0,30904,422
3VAT2,12,0,0,0,1,0,32864,-1
3VAT2,13,0,0,0,1,0,34828,-1
3VAT2,14,0,0,0,1,0,36789,-1
3VAT2,15,0,0,0,1,0,38752,-1
3VAT2,16,0,0,0,1,0,40716,-1
3VAT2,17,0,0,0,1,0,42680,-1
3VAT2,18,0,0,0,1,0,44644,-1
3VAT2,19,0,0,0,1,0,46604,-1
3VAT2,20,0,0,0,1,0,48570,-1
3VAT2,21,0,0,0,1,0,50534,-1
3VAT2,22,0,0,0,1,0,52495,-1
3VAT2,23,0,0,0,1,0,54460,-1
3VAT2,24,1,0,1,1,0,56422,346
3VAT2,25,0,0,0,1,0,58382,-1
3VAT2,26,0,0,0,1,0,60344,-1
3VAT2,27,0,0,0,1,0,62306,-1
3VAT2,28,0,0,0,1,0,64268,-1
3VAT2,29,0,0,0,1,0,66231,-1
3VAT2,30,0,0,0,1,0,68194,-1
3VAT2,31,1,0,1,1,0,70159,443
3VAT2,32,0,0,0,1,0,72118,-1
3VAT2,33,0,0,0,1,0,74081,-1
3VAT2,34,0,0,0,1,0,76044,-1
3VAT2,35,1,0,1,1,0,78007,748
3VAT2,36,0,0,0,1,0,79969,-1
3VAT2,37,1,0,1,1,0,81931,469
3VAT2,38,0,0,1,0,0,83891,1740
3VAT2,39,0,0,1,0,0,85849,1863
3VAT2,40,0,0,0,1,0,87810,-1
3VAT2,41,1,0,1,1,0,89771,278
3VAT2,42,0,0,0,1,0,91732,-1
3VAT2,43,1,0,1,1,0,93693,240
3VAT2,44,0,0,0,1,0,95654,-1
3VAT2,45,0,0,0,1,0,97616,-1
3VAT2,46,1,0,1,1,0,99580,432
3VAT2,47,1,0,1,1,0,101542,696
3VAT2,48,0,0,0,1,0,103501,-1
3VAT2,49,0,0,0,1,0,105463,-1
3VAT2,50,0,0,0,1,0,107427,-1
3VAT2,51,0,0,0,1,0,109390,-1
3VAT2,52,0,0,0,1,0,111355,-1
3VAT2,53,0,0,0,1,0,113317,-1
3VAT2,54,1,0,1,1,0,115281,468
3VAT2,55,0,0,0,1,0,117240,-1
3VAT2,56,1,0,0,0,0,119202,-1
3VAT2,57,1,0,0,0,0,121165,-1
3VAT2,58,1,0,1,1,0,123127,565
3VAT2,59,0,0,0,1,0,125087,-1
3VAT2,60,0,0,1,0,0,127050,258
3VAT2,61,1,0,1,1,0,129009,642
3VAT2,62,0,0,0,1,0,130968,-1
3VAT2,63,0,0,0,1,0,132931,-1
3VAT2,64,0,0,0,1,0,134892,-1
3VAT2,65,1,0,1,1,0,136854,302
3VAT2,66,0,0,0,1,0,138815,-1
3VAT2,67,0,0,0,1,0,140776,-1
3VAT2,68,0,0,0,1,0,142739,-1
3VAT2,69,0,0,0,1,0,144703,-1
3VAT2,70,0,0,0,1,0,146666,-1
3VAT2,71,0,0,0,1,0,148630,-1
3VAT2,72,0,0,0,1,0,150594,-1
3VAT2,73,0,0,0,1,0,152560,-1
3VAT2,74,1,0,1,1,0,154521,878
3VAT2,75,0,0,0,1,0,156480,-1
3VAT2,76,0,0,0,1,0,158445,-1
3VAT2,77,0,0,0,1,0,160405,-1
3VAT2,78,1,0,1,1,0,162368,403
3VAT2,79,0,0,0,1,0,164328,-1
3VAT2,80,0,0,0,1,0,166289,-1
3VAT2,81,0,0,0,1,0,168252,-1
3VAT2,82,0,0,0,1,0,170218,-1
3VAT2,83,0,0,0,1,0,172181,-1
3VAT2,84,0,0,0,1,0,174145,-1
3VAT2,85,0,0,0,1,0,176109,-1
3VAT2,86,0,0,0,1,0,178071,-1
3VAT2,87,0,0,0,1,0,180035,-1
3VAT2,88,0,0,0,1,0,181998,-1
3VAT2,89,0,0,0,1,0,183961,-1
3VAT2,90,0,0,0,1,0,185923,-1
3VAT2,91,0,0,0,1,0,187885,-1
3VAT2,92,0,0,0,1,0,189847,-1
3VAT2,93,0,0,0,1,0,191811,-1
3VAT2,94,1,0,1,1,0,193775,377
3VAT2,95,0,0,0,1,0,195736,-1
3VAT2,96,1,0,1,1,0,197699,364
3VAT2,97,0,0,0,1,0,199657,-1
3VAT2,98,0,0,0,1,0,201619,-1
3VAT2,99,0,0,1,0,0,203582,923
3VAT2,100,0,0,0,1,0,205542,-1
3VAT2,101,0,0,0,1,0,207506,-1
3VAT2,102,0,0,0,1,0,209470,-1
3VAT2,103,0,0,0,1,0,211433,-1
3VAT2,104,0,0,0,1,0,213397,-1
3VAT2,105,1,0,0,0,0,215362,-1
3VAT2,106,0,0,0,1,0,217325,-1
3VAT2,107,1,0,1,1,0,219289,308
3VAT2,108,0,0,0,1,0,221248,-1
3VAT2,109,0,0,0,1,0,223212,-1
3VAT2,110,0,0,1,0,0,225175,372
3VAT2,111,0,0,0,1,0,227135,-1
3VAT2,112,0,0,0,1,0,229099,-1
3VAT2,113,1,0,1,1,0,231062,298
3VAT2,114,0,0,0,1,0,233021,-1
3VAT2,115,0,0,0,1,0,234984,-1
3VAT2,116,0,0,0,1,0,236947,-1
3VAT2,117,0,0,1,0,0,238911,269
3VAT2,118,0,0,0,1,0,240872,-1
3VAT2,119,0,0,0,1,0,242835,-1
3VAT2,120,1,0,1,1,0,244799,546
3VAT2,121,0,0,1,0,0,246760,238
3VAT2,122,0,0,0,1,0,248718,-1
3VAT2,123,1,0,1,1,0,250679,384
3VAT2,124,0,0,0,1,0,252641,-1
3VAT2,125,0,0,0,1,0,254605,-1
3VAT2,126,0,0,0,1,0,256566,-1
3VAT2,127,0,0,0,1,0,258530,-1
3VAT2,128,0,0,0,1,0,260493,-1
3VAT2,129,0,0,0,1,0,262456,-1
3VAT2,130,0,0,0,1,0,264420,-1
3VAT2,131,1,0,1,1,0,266385,288
3VAT2,132,0,0,0,1,0,268346,-1
3VAT2,133,0,0,0,1,0,270309,-1
3VAT2,134,0,0,0,1,0,272273,-1
3VAT2,135,1,0,1,1,0,274236,655
3VAT2,136,0,0,0,1,0,276195,-1
3VAT2,137,0,0,0,1,0,278158,-1
3VAT2,138,0,0,0,1,0,280122,-1
3VAT2,139,0,0,0,1,0,282085,-1
3VAT2,140,0,0,0,1,0,284050,-1
3VAT2,141,0,0,0,1,0,286014,-1
3VAT2,142,0,0,0,1,0,287978,-1
3VAT2,143,0,0,0,1,0,289941,-1
3VAT2,144,0,0,0,1,0,291904,-1
3VAT2,145,0,0,0,1,0,293868,-1
3VAT2,146,0,0,0,1,0,295832,-1
3VAT2,147,0,0,0,1,0,297795,-1
3VAT2,148,0,0,0,1,0,299758,-1
3VAT2,149,0,0,0,1,0,301719,-1
3VAT2,150,0,0,0,1,0,303683,-1
3VAT2,151,1,0,1,1,0,305647,527
3VAT2,152,0,0,0,1,0,307606,-1
3VAT2,153,0,0,0,1,0,309569,-1
3VAT2,154,0,0,0,1,0,311532,-1
3VAT2,155,0,0,0,1,0,313493,-1
3VAT2,156,0,0,0,1,0,315456,-1
3VAT2,157,0,0,0,1,0,317419,-1
3VAT2,158,0,0,0,1,0,319381,-1
3VAT2,159,0,0,0,1,0,321345,-1
3VAT2,160,0,0,0,1,0,323309,-1
3VAT2,161,0,0,0,1,0,325274,-1
3VAT2,162,0,0,1,0,0,327238,594
3VAT2,163,0,0,0,1,0,329198,-1
3VAT2,164,0,0,0,1,0,331160,-1
3VAT2,165,0,0,0,1,0,333125,-1
3VAT2,166,1,0,1,1,0,335089,445
3VAT2,167,0,0,0,1,0,337050,-1
3VAT2,168,1,0,1,1,0,339014,458
3VAT2,169,1,0,0,0,0,340974,-1
3VAT2,170,0,0,0,1,0,342935,-1
3VAT2,171,0,0,0,1,0,344897,-1
3VAT2,172,1,0,1,1,0,346861,454
3VAT2,173,1,0,1,1,0,348822,871
3VAT2,174,0,0,0,1,0,350780,-1
3VAT2,175,0,0,0,1,0,352742,-1
3VAT2,176,1,0,1,1,0,354704,271
3VAT2,177,0,0,0,1,0,356664,-1
3VAT2,178,1,0,1,1,0,358627,529
3VAT2,179,1,0,1,1,0,360587,375
3VAT2,180,0,0,0,1,0,362547,-1
3VAT2,181,0,0,0,1,0,364511,-1
3VAT2,182,0,0,0,1,0,366475,-1
3VAT2,183,0,0,0,1,0,368439,-1
3VAT2,184,1,0,1,1,0,370401,490
3VAT2,185,0,0,0,1,0,372359,-1
3VAT2,186,0,0,0,1,0,374324,-1
3VAT2,187,0,0,0,1,0,376287,-1
3VAT2,188,0,0,0,1,0,378251,-1
3VAT2,189,0,0,0,1,0,380214,-1
3VAT2,190,0,0,0,1,0,382176,-1
3VAT2,191,1,0,1,1,0,384141,505
3VAT2,192,1,0,1,1,0,386102,610
3VAT2,193,0,0,0,1,0,388062,-1
3VAT2,194,1,0,1,1,0,390027,386
3VAT2,195,0,0,0,1,0,391985,-1
3VAT2,196,1,0,1,1,0,393947,255
3VAT2,197,0,0,0,1,0,395905,-1
3VAT2,198,0,0,1,0,0,397868,316
3VAT2,199,0,0,0,1,0,399828,-1
3VAT2,200,0,0,0,1,0,401790,-1
3VAT2,201,1,0,1,1,0,403753,619
3VAT2,202,1,0,1,1,0,405713,502
3VAT2,203,0,0,0,1,0,407671,-1
3VAT2,204,0,0,0,1,0,409636,-1
3VAT2,205,0,0,0,1,0,411599,-1
3VAT2,206,0,0,0,1,0,413562,-1
3VAT2,207,0,0,0,1,0,415527,-1
