sub,trial,targ,toofast,responded,corr,mult,time,rt
3ulvig1,0,1,0,1,1,0,7651,399
3ulvig1,1,0,0,0,1,0,9602,-1
3ulvig1,2,0,0,0,1,0,11553,-1
3ulvig1,3,0,0,0,1,0,13504,-1
3ulvig1,4,0,0,0,1,0,15456,-1
3ulvig1,5,0,0,0,1,0,17407,-1
3ulvig1,6,1,0,1,1,0,19358,468
3ulvig1,7,0,0,0,1,0,21309,-1
3ulvig1,8,0,0,0,1,0,23261,-1
3ulvig1,9,0,0,0,1,0,25213,-1
3ulvig1,10,0,0,0,1,0,27166,-1
3ulvig1,11,0,0,0,1,0,29118,-1
3ulvig1,12,0,0,0,1,0,31071,-1
3ulvig1,13,0,0,0,1,0,33024,-1
3ulvig1,14,1,0,1,1,0,34976,471
3ulvig1,15,0,0,0,1,0,36927,-1
3ulvig1,16,1,0,1,1,0,38880,542
3ulvig1,17,0,0,0,1,0,40831,-1
3ulvig1,18,0,0,0,1,0,42783,-1
3ulvig1,19,0,0,0,1,0,44735,-1
3ulvig1,20,0,0,0,1,0,46687,-1
3ulvig1,21,0,0,0,1,0,48639,-1
3ulvig1,22,1,0,1,1,0,50591,396
3ulvig1,23,0,0,0,1,0,52542,-1
3ulvig1,24,0,0,0,1,0,54494,-1
3ulvig1,25,0,0,0,1,0,56445,-1
3ulvig1,26,0,0,0,1,0,58398,-1
3ulvig1,27,0,0,0,1,0,60349,-1
3ulvig1,28,0,0,0,1,0,62302,-1
3ulvig1,29,1,0,1,1,0,64254,460
3ulvig1,30,0,0,0,1,0,66205,-1
3ulvig1,31,0,0,0,1,0,68156,-1
3ulvig1,32,0,0,0,1,0,70108,-1
3ulvig1,33,0,0,0,1,0,72061,-1
3ulvig1,34,0,0,0,1,0,74013,-1
3ulvig1,35,0,0,0,1,0,75966,-1
3ulvig1,36,0,0,0,1,0,77918,-1
3ulvig1,37,0,0,0,1,0,79870,-1
3ulvig1,38,0,0,0,1,0,81823,-1
