sub,trial,targ,toofast,responded,corr,mult,time,rt
5,0,0,0,0,1,0,85445,-1
5,1,1,0,1,1,0,87414,427
5,2,0,0,0,1,0,89375,-1
5,3,1,0,1,1,0,91341,273
5,4,1,0,1,1,0,93303,463
5,5,0,0,0,1,0,95264,-1
5,6,1,0,1,1,0,97230,364
5,7,0,0,0,1,0,99190,-1
5,8,0,0,1,0,0,101156,247
5,9,0,0,0,1,0,103120,-1
5,10,0,0,0,1,0,105088,-1
5,11,0,0,0,1,0,107053,-1
5,12,0,0,0,1,0,109020,-1
5,13,1,0,1,1,0,110988,352
5,14,0,0,0,1,0,112951,-1
5,15,0,0,0,1,0,114916,-1
5,16,0,0,0,1,0,116883,-1
5,17,0,0,0,1,0,118849,-1
5,18,1,0,1,1,0,120815,431
5,19,0,0,0,1,0,122778,-1
5,20,0,0,0,1,0,124743,-1
5,21,1,0,1,1,0,126711,429
5,22,1,0,1,1,0,128678,649
5,23,0,0,0,1,0,130642,-1
5,24,0,0,0,1,0,132606,-1
5,25,0,0,0,1,0,134572,-1
5,26,0,0,0,1,0,136538,-1
5,27,0,0,0,1,0,138504,-1
5,28,0,0,0,1,0,140472,-1
5,29,0,0,0,1,0,142440,-1
5,30,0,0,0,1,0,144406,-1
5,31,0,0,0,1,0,146372,-1
5,32,0,0,0,1,0,148338,-1
5,33,0,0,0,1,0,150306,-1
5,34,0,0,0,1,0,152273,-1
5,35,1,0,1,1,0,154241,607
5,36,0,0,0,1,0,156202,-1
5,37,0,0,0,1,0,158166,-1
5,38,0,0,0,1,0,160131,-1
5,39,1,0,1,1,0,162097,546
5,40,0,0,0,1,0,164060,-1
5,41,0,0,0,1,0,166026,-1
5,42,1,0,1,1,0,167993,609
5,43,0,0,0,1,0,169956,-1
5,44,0,0,0,1,0,171922,-1
5,45,0,0,0,1,0,173888,-1
5,46,1,0,1,1,0,175858,357
5,47,0,0,0,1,0,177819,-1
5,48,0,0,0,1,0,179785,-1
5,49,0,0,0,1,0,181750,-1
5,50,1,0,1,1,0,183719,534
5,51,0,0,0,1,0,185681,-1
5,52,0,0,0,1,0,187648,-1
5,53,1,0,1,1,0,189613,469
5,54,0,0,0,1,0,191573,-1
5,55,0,0,0,1,0,193538,-1
5,56,0,0,0,1,0,195504,-1
5,57,0,0,0,1,0,197468,-1
5,58,0,0,0,1,0,199432,-1
5,59,1,0,1,1,0,201397,387
5,60,0,0,0,1,0,203360,-1
5,61,0,0,0,1,0,205325,-1
5,62,0,0,0,1,0,207289,-1
5,63,1,0,1,1,0,209255,543
5,64,0,0,0,1,0,211218,-1
5,65,1,0,1,1,0,213185,564
5,66,0,0,0,1,0,215149,-1
5,67,0,0,0,1,0,217117,-1
5,68,0,0,0,1,0,219082,-1
5,69,0,0,0,1,0,221048,-1
5,70,1,0,1,1,0,223013,525
5,71,0,0,0,1,0,224976,-1
5,72,0,0,0,1,0,226941,-1
5,73,0,0,0,1,0,228908,-1
5,74,0,0,0,1,0,230876,-1
5,75,0,0,0,1,0,232841,-1
5,76,0,0,0,1,0,234806,-1
5,77,0,0,0,1,0,236771,-1
5,78,1,0,1,1,0,238738,378
5,79,0,0,0,1,0,240699,-1
5,80,0,0,0,1,0,242660,-1
5,81,0,0,0,1,0,244625,-1
5,82,0,0,0,1,0,246590,-1
5,83,0,0,0,1,0,248555,-1
5,84,0,0,0,1,0,250520,-1
5,85,0,0,0,1,0,252488,-1
5,86,0,0,0,1,0,254457,-1
5,87,0,0,0,1,0,256422,-1
5,88,0,0,0,1,0,258390,-1
5,89,0,0,0,1,0,260356,-1
5,90,0,0,0,1,0,262324,-1
5,91,0,0,0,1,0,264289,-1
5,92,1,0,1,1,0,266255,466
5,93,0,0,0,1,0,268217,-1
5,94,0,0,0,1,0,270182,-1
5,95,0,0,0,1,0,272146,-1
5,96,1,0,1,1,0,274109,620
5,97,1,0,1,1,0,276070,718
5,98,0,0,0,1,0,278032,-1
5,99,0,0,0,1,0,279998,-1
5,100,0,0,0,1,0,281965,-1
5,101,0,0,0,1,0,283931,-1
5,102,1,0,1,1,0,285898,551
5,103,0,0,0,1,0,287860,-1
5,104,0,0,0,1,0,289823,-1
5,105,0,0,0,1,0,291790,-1
5,106,0,0,0,1,0,293757,-1
5,107,0,0,0,1,0,295723,-1
5,108,1,0,1,1,0,297687,529
5,109,0,0,0,1,0,299649,-1
5,110,0,0,0,1,0,301614,-1
5,111,0,0,0,1,0,303581,-1
5,112,0,0,0,1,0,305547,-1
5,113,0,0,0,1,0,307514,-1
5,114,1,0,1,1,0,309481,419
5,115,0,0,0,1,0,311445,-1
5,116,1,0,1,1,0,313410,494
5,117,1,0,1,1,0,315371,509
5,118,0,0,0,1,0,317334,-1
5,119,1,0,1,1,0,319303,470
5,120,0,0,0,1,0,321264,-1
5,121,0,0,0,1,0,323231,-1
5,122,1,0,1,1,0,325198,465
5,123,1,0,1,1,0,327160,557
5,124,0,0,0,1,0,329122,-1
5,125,0,0,0,1,0,331088,-1
5,126,0,0,0,1,0,333055,-1
5,127,1,0,1,1,0,335019,446
5,128,0,0,0,1,0,336981,-1
5,129,1,0,1,1,0,338948,388
5,130,0,0,1,0,0,340909,328
5,131,0,0,0,1,0,342872,-1
5,132,1,0,1,1,0,344838,494
5,133,0,0,0,1,0,346800,-1
5,134,0,0,0,1,0,348768,-1
5,135,1,0,1,1,0,350737,376
5,136,0,0,0,1,0,352701,-1
5,137,1,0,1,1,0,354668,562
5,138,0,0,0,1,0,356629,-1
5,139,0,0,0,1,0,358594,-1
5,140,1,0,1,1,0,360562,412
5,141,0,0,0,1,0,362524,-1
5,142,0,0,0,1,0,364489,-1
5,143,0,0,0,1,0,366454,-1
5,144,0,0,0,1,0,368420,-1
